stage,endoderm,epidermis,exocrine.pancreas,eye,glial,gut,lateral.line,mesenchyme,neural,olfactory,periderm,somites,spinal.cord,vasculature
 14-21,0.93,10.27,0,2.55,0,0,0,0,44.99,0,5.69,0.8,13.07,0
 24-34,0,0,0,0.6,0,0,1.12,0,14.11,1.31,0.68,0,15.35,0.69
 36-46,0,0,0,0,0,0,0,0,3.98,0.93,4.03,0,1.87,0.92
 48-58,0,0,0,0,0,0,0,0,3.72,1.76,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.59,4.67,0,3.71,0,0,0
 72-82,0,0,0,0,0,0.56,1.57,0.58,3.57,0,0,0,0,0
 84-94,0,0,3.47,8.02,0.89,0,1,0,0.72,0,0,0,0,0
 96-106,0,0,0,0,0,0.75,0,1.06,0.96,3.83,0,0,0,0
108-118,0,0,3.21,1.34,0,2.89,0,0,5.08,0,4.27,0,0,0
120,0,0,0,0,0,8.24,0,0,0,0,0,0,0,0
