stage,blastomeres,epidermis,eye,fin_epithelia,glial,heart,lateral_line,melanocytes,mesenchyme,neural,olfactory,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste
  3-4,10.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,16.56,0,0,0,7.73,0,0
 14-21,0,20.4,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0
 24-34,0,9.02,0,0,0,0,0,0,0,2.89,16.9,0,0,0,0.94,0
 36-46,0,10.01,1.73,0,3.56,0,0,0,0,12.37,28.37,0,0,0,0,0
 48-58,0,0.66,0,0,0,0,0,0,0,2.09,31.1,0,0,0,1.57,0
 60-70,0,5.57,2.6,1.33,0,0,1.16,0,0,2.15,37.41,0,0,0,0,0
 72-82,0,1.47,0,0.55,0,0.53,0,0,1.89,2.21,75.49,0,0,0,0,0.56
 84-94,0,9.92,2.66,0,0,0,0,2.56,0,2.13,36.26,0,0,0,0,4.29
 96-106,0,8.39,0,0.68,0.71,0,0,0,4.01,13.64,73.52,0.61,0,0,0,6.29
108-118,0,13.36,1.46,1.33,0,0,0,0,0,2.11,51.43,0,0,0,0,12
120,0,6.55,2.83,2.05,0,0,0,0,0,0,65.2,0,0,0,0,3.99
