stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,42.5,389.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.69,0,0,0,0,0,0
  5-6,56.81,583.72,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0,0,0,341.45,0,0,0,0,0,0
  7-9,3.56,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,64.52,0,0,0,3.49,0,19.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389.46,0,0,0,30.25,0,9.97,0,0,0,0,0,0
 14-21,0,0,1.64,0,220.17,5.64,0,1.94,0,0,0,0,0.89,16.67,1.63,0,0,2.74,1.65,0,25.1,0,3.45,1.79,2.85,0,82.03,2.35,2.22,22.46,0,1.24,0
 24-34,0,0,0.84,0,58.9,0,0,0.6,4.06,0,0,0,0,55.94,6.97,0.97,0,1.8,1.63,0.77,28.94,0,0.87,0,0,0,60.91,0,0,5.57,0,0,0
 36-46,0,0,0,0,31.49,1.11,0,3.2,8.57,0,2.75,0,0,138.07,0,0.61,0.72,5,0.63,0,5.81,0,0.71,0,0,0,49.02,0,0,0.78,0,0,0
 48-58,0,0,0,0,39.07,0.42,0,5.15,15.76,0.4,0.6,0,0,105.98,0,0,0,2.78,3.76,0,13.59,0,0,0.88,0,0,30.22,0,0,2.33,0,0,0
 60-70,0,0,0,0,43.04,4.71,0,8.44,3.83,4.42,3.79,0.84,0,201.18,0,0,0.59,4.41,0,0.84,24.08,0,1.51,6.45,0,0,43.14,0,0,0,0,0,0
 72-82,0,0,0,0,16.9,0,0,2.45,4.41,0,1.87,0,0,122.51,0,0,1.48,9.19,0.83,0,12.55,0,0,0,0,0,18.22,0,0,2.25,0,0,0
 84-94,0,0,0,0,20.73,0,0,0.72,10.47,1.01,1.78,0,0,222.79,1.18,0,1.23,15.6,0,0.71,14.57,0,0,0,0,0,30.31,0,0,0,1.21,2.14,0.91
 96-106,0,0,2.49,0,37.58,9.45,3.86,0,8.64,0,1.18,0,0,180.88,0,0,3.39,11.36,0,0,4.17,0,2.8,0,0,1.57,20.55,0,0,0,0,0,0
108-118,0,0,0,0,42.03,3.25,0,8.13,17.97,0,0.92,1.34,0,179.88,2.85,0,0,19.15,0.43,0,12.51,0.43,1.78,0,0,0,10.93,0,0,0,0,0,0
120,0,0,0,0,31.52,0,0,0,16.61,0,7.62,0,0,219.03,0,4.78,3.58,15.25,0,0,43.07,0,0,0,0,0,2.94,0,0,9.15,0,0,0
