stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.57,17.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,22.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.66,0,0,0,0,0,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.89,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.75,11.17,0,0,9.53,0,5.07,0,0,0,8.15,0,0,0,0,0,0
 14-21,0,0,0,0,0.83,0,0,0,0,0,0,5.52,0,0,0,0,0,0,0,0,2.78,0,0,14.2,0,0,0,0,0,0,1.96,0,1.37,10.18,18.32,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,5.45,0,0,0,0,0,0,0,1.48,0,0,0,0,2.08,0,1.51,407.16,0,0,0,0,0,0,0,0,0.88,0,82.79,0,0,0,0,0
 36-46,0,0,0,0,8.74,0,0,45.69,0,0,0,37.8,0,0,0,0,0,0,0,0,10.82,0,2.97,1462.91,0,0,0.64,0,0,16.47,0,0,0,0,291.65,0,0,0,0,0
 48-58,0,0,0.42,0,10.45,0,0,314.88,0,0,0,87.43,0,0,0,0,0,0,0,1.17,24.73,0,11.17,1297.06,0.39,0,0,0,0,1.17,0,0.73,0,0,206.05,0,0,4.83,0,10.95
 60-70,0,0,0,0,0.69,2.88,0,1595.24,0,0,0.83,68.17,0,0,0.7,0,6.42,1.16,0,8.52,26.48,0,3.53,2133.37,5.19,0,0.91,0,1.22,7.43,0,0,0,0,215.54,0,0,0,0,6.61
 72-82,0,0,0.64,0,6.29,3.6,0,1572.26,0.59,0,2.89,68.02,1.49,0,0,0,1.13,2.24,0,0,27.44,0.77,6.22,1754.8,0,0.6,0,0,1.05,2.71,0,0,0,0,123.58,0.87,0,4.48,0,19.14
 84-94,0,0,0,0,6.87,0,0,1045.27,0,0.6,1.3,77.33,0,0.7,0,0,9.65,0,0,0,27.45,1.23,2.98,1202.26,5.19,2.7,0,0,0,5.27,0,0,0,0,55.15,0,0,3.77,0.57,2.76
 96-106,0,0,1.05,0,14.4,0,0,789.34,0,0,0,60.64,1.31,0,0,0,0,2.88,8.43,0,27.17,1.24,2.6,943.04,0,1.63,0,0,0,2.68,0,1.02,0,0,29.86,0,3.07,0,0,8
108-118,0,0,0,0.95,12.92,2.39,3.63,860.29,1.18,0,0.75,52.92,0,0,0.65,0,1.01,0,10.83,0,25.02,0,2.17,1345.24,0,1.4,0,0,0.95,0,0,0,0,0,39.38,0.89,0,1.16,1.03,1.69
120,0,0,0,1.28,37.49,2.33,0,857.08,0,0,0,42.04,2.14,0,0,0,2.23,0,0,0,36.78,0,5.08,1926.19,0,0,0,0,3.68,0,0,0,1.63,0,31.13,0,37.45,0,0,0
