stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,7.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.52,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,105.18,3.88,0,0,0,0,0,0,4.72,0,0,0,0,3.06,0,0,17.88,46.71,0,1.36,0,0,0,1.31,85.85,0,0.89,0,0,1.87,0,0
 24-34,0,0,0,325.78,0,0,0,1.78,0.74,1.51,0,71.39,0,0,0,8.45,48.93,0,0,17.39,3.58,12.78,7.67,0,0,0.7,0,41.61,0.67,4.77,0,0,125.89,0,4.11
 36-46,0,0,0,207.56,6.61,0,0,0,0,0,0,124.38,0,0,0,0.93,0,2.5,0,41.53,0.8,7.9,1.41,0,0,3.18,0,13.94,0,1.68,0,0,149.51,0,0
 48-58,0,0,0,105.99,0,0,6,2.52,0,0,0,191.86,0,0,0,1.27,0.38,5.33,0.38,24.5,0,4.4,0.41,0,0.46,0,0,2.41,1.71,3.68,0,1.85,164.14,0,0
 60-70,0,0,0,50.4,1.86,0,9.19,1.14,0,2.12,1.46,140.71,0,0,0,1.77,0,4.93,0,35.39,0,2.88,0,0,0,1.58,0,10.47,0,3.41,0,9.03,146,0.85,0
 72-82,0,0,0,50.34,1.33,0,2.73,1.59,1.76,0,1.1,114.39,0,1,0,6.34,0,0,0,11.8,2.85,6.21,0,0,1.61,0,0,4.67,0,0,0,6.06,227.01,2.12,0.55
 84-94,0,0,0,134.06,0,0,0,1.69,0,0,2.11,81.58,0,0.56,0,11.05,6.21,1.62,0,13,0,1.1,0,0,0,3.96,0,1.35,0,0.66,0,3.83,242.42,5.35,0
 96-106,0,0.8,0,175.6,0,0,20.46,1.19,3.07,0,4.71,203.81,0,11.65,0,18.84,0,2.24,0,35.97,0,11.99,0,0,10.43,1.12,0,6.47,0,0,0.81,0.57,307.37,0.59,0
108-118,0.56,0.61,0,123.17,0,0.5,8.12,5.68,1.47,0.62,2.41,33.55,0.58,13.37,4.22,14.6,0,24.31,0,14.86,0,15.96,3.5,0,0,3.77,0,8.95,0,0,5.45,0,233.29,5.69,0
120,0,0,0,81.85,0,0,10.44,4.82,0,0,17.1,83.44,0,0,0,0,0,0,1.06,14.94,0,2,0,0,0,11.27,0,34,0,0,0,5.53,190.44,14,0
