stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,0,100.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.31,199.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.17,0,0,9.77,0,0,0,0,0,0,0
  7-9,27.73,20,0,13.66,0,0,20.54,0,0,0,5.32,0,0,0,0,0,0,250.72,0,0,0,111.01,0,0,0,0,0,0,0
 10-12,0,15.66,0,7.86,0,0,7.79,0,0,0,0,0,0,0,0,0,0,54.93,10.25,0,0,77.74,0,0,0,4.35,0,0,0
 14-21,0,0,1.11,0.88,6.59,0.92,4.39,0,1.25,1.07,0,0,0,0,0,5.52,2.76,40.39,0,0,0,0,0,13.1,2.44,11.07,12.87,0,0
 24-34,0,0,0.6,1.54,1.84,0.62,6.91,0.9,2.11,0,0,0,0,0,0,2.64,2.99,45.04,0,0,0.75,0,2.38,0,0,1.26,6.69,0.69,0
 36-46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.48,0,10.81,0,1.21,0,0,0,0,0,0,3.03,0.62,0
 48-58,0,0,0,0,0,0,5.32,0,2.83,0,0,0,0,0,1.38,1.5,0,21.33,0,1.27,0,0,0,0,0,0,0.81,0.38,3.5
 60-70,0,0,0,0,0,0,5.57,0,0,0,0,0,0,0,0,0,0,12.18,0,0,0,0,1.68,0,0,0,4.28,2.16,0
 72-82,0,0,0,0,3.24,0,16.76,0,0,0,0,0,0,0,0,1.92,0,10.36,0,0,0,0,0,0,0,0,7.27,0,0
 84-94,0,0,0,0,2.11,0,10.24,0,0,0,0,0.65,0,0,0,2.78,0.58,22.86,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.37,0,24.25,0,2.32,0,0,0.7,0.64,0,0,0,0,20.58,0,0,0,0,0,0,0,0,0,2.81,0
108-118,0,0,0,0,0,0,0.9,0.45,0,0,0,0,0,1.03,0,4.63,0,15.12,0,0,0,0,0.75,0,0,0,0,0.68,0
120,0,0,0,0,0,0,9.59,0,0,0,0,0,0,1.05,0,0,0,35.34,0,0,0,0,0,0,0,0,0,4.69,0
