stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,198.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.15,363.24,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.57,6.26,0,15.89,0,0,40.66,0,0,0,0,8.09,0,0,0,0,0,0,0,0,0,298.55,10.24,0,0,82.57,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.96,0,6.98,0,0,29.98,0,0,0,0,45.12,0,0,0,0,0,0,0,0,0,204.97,3.95,0,0,88.05,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.32,0,3.28,0,0,0,0,0,1.36,0.71,0,0,0,1.47,6.43,0.84,0,14.95,0,0,0,0,0,7.39,0,2.1,0.66,3.5,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,15.23,0,0,2.98,0,0,0.91,0,0,7.43,0,0,0,0,0
 48-58,0,0,0,0,0.73,0,4.21,3,0,0,0,0,0,0,0,0,0,0,1.29,0,0,44.41,0,0,0,0,0,2.27,0,8.42,2.2,2.94,0,4.2,0,0
 60-70,0,0,0,0,0,0,14.48,1,0,1.85,0.99,0,0,0,0,0,0,2.64,12.85,0,3.43,43.56,0,0,0,0,0,2.92,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.21,1.53,3.71,0,0,0,0,0,0,0,0,0.75,0,1.79,7.09,0,0,10.47,0,0.93,0,0,0,5.39,0,0,0,0.84,0,1.56,0.49,2.27
 84-94,0,0,0,0,1.2,0.76,4.49,0,0.57,0,4.04,0,0,0,3.6,0,1.5,0,5.3,0,0,1.93,0,0,0,0,0,0.69,0,2.78,0,2.17,1.17,2.66,0,0
 96-106,0,0,0,0,0.73,0,1.53,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0
108-118,0,0,3.68,0,6.32,0.57,4.84,0.43,0,3.58,0.45,0,0,0,0,0,0,0,2.04,0,0,6.63,0,0,0,0,0,3.57,0,0.53,0.53,0,0,0,0,0
120,0,0,0,0,15.32,1.08,11.6,0,0,0,9.39,0,3.85,0,0,0,1.1,0,0,0,2.81,7.44,0,15.43,1.76,0,18.18,2.7,0,0,0,0,0,6.94,0,0
