stage,blastomeres,endoderm,erythrocytes,eye,glial,ionocyte,iridophores,lateral.line,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  5-6,29.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,11.48,0,0,12.61,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,5.8,0,0,5.27,0,0,0
 14-21,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0.85,0.81,0
 24-34,0,0.68,0,1.28,0,1.18,0,0,0,2.13,0,0,0,0,0,6.84,0
 36-46,0,0,0,1.61,0.6,0,0,0,1.9,2.53,0,0,0,0,0.93,0,0
 48-58,0,0,0,0.53,0,0,0.39,0,0,0.66,0,0,0,0,1.57,0,0
 72-82,0,0,0,0,0,0,0,0,0.66,0,0,1.18,0,0,0,0,0
 84-94,0,0,0,0.58,0,0,1.37,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.24,0,0,0,1.3,1.77,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.63,0,2.9,0,0.94,1.97,0,0,0,0,0,0,0.74
120,0,0,0,0,0,0,0,0,27.65,0,0,0,0,0,0,0,0
