stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,21.99,0,1.12,0,0,0,0,0,135.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,22.76,0,0.83,0.78,0,0,0,0,334.14,0,0,0,0,0,3.43,0,0,0,15.3,0.77,0,0.8,0,0,1.28,0,0,18.68,0,0
 36-46,0,0,0,10.84,0,0,0,0,0,0,0,329.62,0,0,0,0,0,33.82,0,0,0,9.88,0.6,0,0,0,0,0,0,0,9.8,0,0
 48-58,0,0,0.44,6.56,0,5.82,0,0,2.75,0,0,272.24,0,0,0,1.78,3.78,62.47,0,0,0.94,28.49,0,0,0,0,0,2.75,0,0,15.79,0,4.06
 60-70,0,0,0,21.87,0,7.68,0,0,0.93,5.35,1.29,247.69,0,0,0,2.82,0,39.53,0,0,1.93,17.95,0,0,0,0,0,0,0,0.8,23.83,0,0
 72-82,0,0,16.45,43.63,0,26.58,0,0,1.54,22.58,0,476.09,0.73,0,2.72,3.49,3.06,71.56,0.52,0,2.25,25.95,0,0,2.44,0,4.01,5.59,2.28,0,43.92,1.2,0
 84-94,0,2.92,14.3,41.48,0,1.83,1.7,0,3.41,28.65,0,519.49,0,0,0,0,0,61.85,0.58,0.95,1.26,32.7,0,0.79,1.11,0,0,0,7.25,0,32.09,0.82,0
 96-106,0,1.72,80.28,70.29,0,21.69,3.32,0,11.31,46.41,0,889.09,2.05,0.75,3.68,6.12,0,72.79,0,1.26,4.52,42.58,1.05,2.06,6.08,0.76,0,0,16.16,0,86.89,0,0
108-118,0,0.81,79.23,56.21,0.5,33.19,0.57,0,10.19,42.53,0,830.65,1.03,0,0,2.21,0,43.72,1.04,0,3.23,54.35,0,0,1.86,0,1.04,0,25.25,0,60.89,0,0
120,0,0,49.31,31.28,0,22.15,0,1.44,0,32.34,0,1071.64,1.48,0,2.87,2.51,0,64.06,0,3.7,0,43.21,0,0,6.27,0,0,0,6.3,0,53.93,0,0
