stage,axial,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,neural,spinal.cord,vascular.smooth.muscle
  5-6,7.8,6.07,0,0,0,0,0,0,0,0
 10-12,0,0,8.56,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.74,2.22,0,0
 24-34,0,0,0,0,0,0,0,7.54,0.85,0
 36-46,0,0,0,0,0,0,0,1.43,0.67,0
 48-58,0,0,0,0,0.81,0.45,0,1.6,0.46,0
 60-70,0,0,0,0,0,0,0,1.05,2.26,0
 72-82,0,0,0,0,0,0.63,0.96,1.73,0,0
 84-94,0,0,0,0,0.87,0,0,0,0,0.59
120,0,0,0,3.22,2.61,0,4.63,0,0,0
