stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,10.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,3.46,0,0,0,0,0,0,0,0,0,0.66,0,1.47,0,0,0,2.31,0,0,0,0,0,1.89,0,0,0,0
 36-46,0,0,30.59,0,0,0,0,0,0,0,0,0,2.39,0,0,0,0,0,8.47,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,11.24,0,0,0,0.45,0.43,0.52,0,4.97,0,0,0,0.4,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,20.39,0,0,0,0.8,8.12,18.62,0,5.24,0,0,0,3.71,1.23,0,0,24.35,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,13.1,0,0,2.4,0.91,27.99,22.48,0,7.76,0,0,0,98.24,0,0,2.93,16.12,0,0,0,0,0,0,0,3.17,0,0
 84-94,0,0.64,69.82,0,0,7.5,3.52,30.59,8.86,0,2.68,0,0,0,69.2,0.84,0,0,2.69,0,0,0,0,0,0,0,0,0,0
 96-106,0,0.76,163.16,3.39,0.66,61.22,48.48,70.34,253.48,0,0,1,2.62,0,1016.72,7.07,6.53,39.26,93.55,0,0.8,0,1.35,0,10.68,0,9.98,5.36,0
108-118,0,5.62,192.77,4.78,4.57,8.48,22.08,84.24,206.55,0.81,0,0,2.01,0,942.61,12.21,1.53,25.19,22.79,0,0,0,1.05,0.41,1.2,1.19,3.28,1.46,2.47
120,0,0,371.81,34.89,34.85,53.98,57.75,367.5,867.39,0,0,0,1.3,3.69,2924.7,12.87,44.42,88.48,110.8,5.49,0,18.95,18.5,0,2.39,0,0,10.56,0
