stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  5-6,31.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.16,0,0,5.99,0,0,0,0,0,73.69,0,9.1,4.34,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,59.72,4.64,41.46,0,0,0,0
 14-21,0,0,0,1.18,0,0,0,0,0,0,7.63,0,0,0,1.81,3,0
 24-34,0,0,0.85,0,0.62,0,0.76,1.31,0,0,16.02,0,0,0,0,0.74,2.13
 36-46,0,0,3.74,0,0,0,0,1.27,0,0.85,5.35,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.39,0,6.65,0,0,0,0,3.11,0
 60-70,0,0,0.61,0,0,0,0,0,0,6.06,3.41,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,2.3,0,0,0.79,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,2.41,0,0,1.07,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,2.62,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0
