stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,83.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65,0,0,0,0,0,0,0,0
  5-6,6.49,125.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.89,0,0,0,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.64,0,0,0,11.83,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.38,0,0,0,26.46,0,0,8.97,0,9.66,0,0,0,0,0
 14-21,0,0,1.08,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,15.73,0,0.95,0,0.9,0,0.87,0,0,4.44,8.27,0,0,0,0
 24-34,0,0,0,2.16,0,0,4.17,0,0.62,0,0.69,0,0,0,1.4,0,0,0.68,0,10.34,0,0,2.67,80.87,0.67,0,1.16,0,0,9.09,0,0,1.63,16.04,0,0,0,0
 36-46,0,0,0,1.99,0,0,19.61,0,0.58,0,1.83,0,0.76,3.15,0,0,0,0,1.47,2.18,0,0,1.01,105.41,0,1.34,1.93,0,0,23.09,0,0,0,17.59,0,0.88,0,0
 48-58,0.39,0,0,1.05,0,0,28.45,0,0.42,1.27,8.89,0,9.02,0,0.46,0,0.5,0,0,9.11,0,0,0.44,145.29,0.48,0.48,2.13,0,0,12.79,0,1.65,0,22.72,0,2.88,0,4.52
 60-70,0,0,0,0.83,0.98,0,118.51,3.1,1.24,0.78,14.13,1.59,0,0,2.54,0,0,0,0,5.83,0,0.63,2.44,190.63,0,0.92,0,0,0,14.45,0.58,0,0,16.61,0,1.63,0,0
 72-82,0,0,0,0.84,5.96,0,48.2,0,2.44,0.89,7.42,2.04,0,1.28,0.74,0,0,0,0,17.87,0,0,1.3,119.93,0,1.49,0.69,0,0,7.41,0,3.02,0,14.72,0,1.78,2.87,2.08
 84-94,0,0,0,9.04,0,0,36.74,0,0,0.91,7.39,2.68,0,0.56,0.58,0.67,0,0,0,7.19,0.71,3.71,1.7,81.76,0,0,4.66,0,0,6.92,0,0.73,0,0.82,0.56,0.83,0,0
 96-106,0,0,0,5.02,0,0,28.72,1.46,0.9,0,11.41,0.74,0,1.87,0,0,0.75,0,0,10.32,0,0,0,87.03,0,6.04,6.11,0,2.9,10.52,0,0,0,1.07,0,8.45,0.69,1.44
108-118,0,0,0,6.39,0,5.04,52.3,6.53,0,0.59,7.5,1.74,0,4.29,2.11,0,2.07,0,0,13,0.42,0,0.45,100.16,1.49,8.09,3.92,0,0,7.89,0,0,0,6.9,0,0.62,1.96,1.85
120,0,0,0,16.17,0,3.76,42.06,0,0,3.67,22.67,10.19,0,1.33,0,7.16,0,8.33,0,30.86,0,15.43,0,118.98,0,9.02,3.63,0,0,0,1.12,0,0,12.38,1.27,0,0,0
