stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0.94,3.04,0,1.11,0,0,0,0,0,0,0,0,0,0,1.02,0,12.2,0,0,1.83,32.6,0,0,1.02,0,0,1.08,16.29,0,11.05,17.79,9.69,0,0,3.73,0,0
 24-34,0,0,0,3.33,0.66,0,4.57,0,0,0,1.67,0,3.23,0.64,0,0,0,0,0,51.61,0,0,17.54,231.09,2.01,15.5,1.89,0,0,3.77,0,0,0,0,22.66,0,0,103.89,0,0
 36-46,0,0,0,0,0,0,6.02,0,0,0,12.09,0,2.54,0,0,1.36,0,0,0,53.1,0.87,1.51,16.31,472.69,0.63,26.46,12.21,0,8.6,0,0,0,0,0,87.59,0,2.48,76.81,0,0
 48-58,0.58,0,0,1.88,0,0,95.16,0,0,1,28.04,0,0.85,1.71,0,0,0,0,0.6,80.42,0,5.23,21.2,851.09,0,9.38,7.55,0,0,2.29,0,0.37,0.68,0,108.8,0,1.57,54.11,0,1.98
 60-70,0,0,0,6.87,0,0,326.66,0,0,0.98,109.7,11.13,0,9,0,1.86,0.66,0,0,182.33,0,4.27,11.77,1575.55,0,15.07,6.3,0,6.07,2.04,0,0,0,0,174.84,0,13.71,36.35,0,15.43
 72-82,0,0,2.99,16.88,0.96,0,476.71,0,0,6.42,194.74,4.18,3.11,3.19,0,14.95,2.72,0,4.12,282.59,0,37.46,12.47,1866.08,0,23.3,1.7,0,5.44,7.58,0,0,0,0,144.16,4.21,5.4,87.51,4.89,2.57
 84-94,0,0,3.08,4.86,0.97,0,451.56,6.22,0,1.65,140.34,0,5.42,8.59,0,3.78,1.34,0.73,1.36,188.49,4.78,12.18,9.96,1362.95,3.3,15.57,14.89,0,4.13,0.74,0,0,0,0,148.02,2.89,10.2,49.45,10.74,0.61
 96-106,0,2.82,0,17.55,2.42,1.05,409.36,4.21,0,5.14,213.34,1.86,4.25,13.64,0.64,9.08,3.34,20.5,0.71,218.39,2.51,9.49,5.62,1423.3,0,49.42,14.09,0,16.4,16.72,0,1.71,0,0,124.69,0,16.92,60.6,4.32,28.23
108-118,0,0,0,24.77,0.72,0,466.68,1.13,0.72,0,255.56,1.09,0.56,11.08,0,19.14,2.38,1.13,0,275.72,0,8.81,12.62,1934.79,0,19.12,10.91,0,30.46,12.51,0,0,0,0,60.83,3.61,24.31,27.01,11.56,26.31
120,0,0,0,38.51,4.75,13,452.67,1.26,0,2.45,300.56,5.72,10.38,15.16,0,22.24,4.72,4.54,1.64,279.75,0,11.23,10.67,2885.37,0,78.69,15.84,19.84,11.8,5.22,0,0,0,0,84.14,0,0,74.82,12.2,16.5
