stage,erythrocytes,eye,neural,vasculature
 24-34,0,0,0.84,0
 36-46,0.89,0,0.86,0
 72-82,0.59,0,7.22,0
 84-94,0,0,0,0.83
 96-106,0,0,5,0
108-118,0,5.92,0,0
120,10.04,0,4.65,0
