stage,axial,blastomeres,endoderm,eye,neural,paraxial.mesoderm,periderm
  3-4,0,22.48,0,0,0,0,0
  5-6,10,12.65,0,0,0,0,10.84
  7-9,0,4.5,4.05,3.4,27.74,10.97,0
 10-12,0,8.14,0,3.91,42.95,0,0
