stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,0,29.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.15,41.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.84,0,0,0,3.56,0,0,0,0,0,0,0,0,7.48,0,0,9.39,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.53,0,0,13.95,0,0,0,0,0,0,0
 14-21,0,0,0,49.56,0,0,0.82,0,0,2.03,0,0,0,0,0,0,14.32,0,13.31,34.35,0,0,0,1.72,1.49,1.9,1.54,10.32,2.3,0
 24-34,0.88,0,3.03,30.52,0,0,9.66,0,1.56,1.53,0,0,0,0,0,4.3,51.01,0,9.99,25.97,0,1.72,0,0,0,0,0,3.27,7.88,0
 36-46,0,0,0,0.79,0.67,0,8.7,0,0,0,0,0.93,0,0,5.41,1.82,6.26,0,0,220.01,0,0,0,0,0,3.56,0,9.51,0.91,0
 48-58,0,0,0,0,0,0,9.17,2.12,0,0,0,0,0,3.97,0,6.94,6.5,0,1.79,242.62,0,1.32,0,0,0,0,0,3.96,0.5,5.69
 60-70,0,0,0,0,0,0,9.74,0.72,0,0,0,0,0,0,0,0,8.54,0,0,127.74,0,0,0,0.86,0,0,0,7.96,1.72,0
 72-82,0,0,0,0.51,0,0,15.18,4.41,0,0,0,0,0,0.72,0,0,17.51,1.72,0,157.77,0,0,0,0,0,0,0,2.78,0.82,0
 84-94,0,0,0,0.66,0,0,55.25,0,0.55,0,0,0,1.49,0,0,0,4.81,2.25,0,60.36,0,0,0,0,0,0,0,0.65,0,0
 96-106,0,0,0,0.56,9.09,1.05,59.02,32.08,0,0,0,0,5.23,0,0,0,13.86,0,0,181.96,0,5.57,0,0,0,0,0,0,2.05,0
108-118,0,0,0,0,0,0,18.4,1.17,0.64,1.35,0,0,0,0,0,0,9.8,0,0.46,62.49,0.56,0.7,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,7.55,0,0,0,0,0,0,0,0,0,21.98,0,0,123.8,0,2.92,0,0,0,0,0,0,0,0
