stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,55.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.57,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.73,0,0,0,38.47,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.48,7.35,0,0,14.75,0,0,10.23,0,0,0,0,0,0
 14-21,0,0,0,1.01,2.84,0,1.7,0,0,1.28,0,0,0,0,0,0,2.05,0,0,21.69,0,0,0,2.35,0,0,0,1.06,13.83,0,1.26,0,0
 24-34,0,0,0,0,0.69,0,5.53,0,0,0.88,1.08,0.69,0,0,0,0,8.45,0,0.89,88.94,0,0,0.64,0,0,0.73,0,0.71,29.91,0,1.33,0,0
 36-46,0,0,0,0,1.61,0,19.56,0,0,4.91,0,0,0,0,0,0,11.62,0,6.97,133.89,0,2.48,0.57,0,0,0.58,0,0,30.06,0,0.73,0,0
 48-58,0,0,0,0,2.09,0,26.67,0,0,1.77,1.57,0,0,0,0,0,4.83,0,2.73,89.39,0,1.2,4.57,0,0,7.94,0,0,24.07,0,5.77,0,0
 60-70,0,0,0,0,0,0,78.09,0,0,19.08,0,0.59,0,0,0,0,23.44,0,2,112.65,0,1.17,4.56,0,0,4.51,0.68,0,11.63,0,2.53,0,0.77
 72-82,0,0,0.68,0,1.39,6.28,39.85,0,3.06,6.76,0,0.87,1.12,1.17,0,0,17.34,1,4.28,89.73,0.98,1.45,0,0,1.05,0,0,0,16.66,0,2.36,1.16,0
 84-94,0,0,0,0,11.83,0.66,55.99,0,0,23.51,3.93,2.41,0.95,1.67,1.29,0.69,20.55,0,0.59,65.96,0,2.5,1.31,0,0,11.7,0.67,0,10.12,2,2.81,0,0.66
 96-106,0,0,0,0,2.06,7.73,23.29,0,0.76,4.24,0,0,0,0,0,1.31,16.54,0,1.63,37.26,0,0,1.5,0,0,7.95,0,0,0,0,1.05,0,1.13
108-118,0,0,0,0,1.55,5.76,22.12,0,4.7,22.02,2.18,0,0,0,0.8,0,14.23,2.09,5.78,70.06,0,1.52,0.45,0,0.91,6.42,1.21,0,1.31,0.51,6.77,0.44,0
120,0,0,0,0,4.94,1.56,15.65,3.08,0,0,6.3,0,2.34,5.09,0,0,15.35,0,3.83,44.69,0,2.92,11.39,0,0,2.83,2.12,0,7.49,0,17.05,0,0
