stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.96,1.64,1.09,0,0,0,0,0,0,0,0,0,0,0,1.27,44.69,1.98,0,0,0,0.9,2.06,1.84,8.12,0,0,0
 24-34,6.34,2.01,28.29,0,2.09,0,0,0.71,0,0,0,6.92,0,0,5.66,189.59,0,1.58,2.26,1.77,0,0,0.69,31.01,3.36,0,0
 36-46,0.64,1.2,69.45,1.26,2.46,0,0,2.69,0,0,0,10.38,0,1.06,0.78,208.64,0,1.02,0,7.83,0,0,0,35.25,0.58,0,0
 48-58,3.59,0,66.41,0,3.22,0,0,0,0,0,0,21.55,0.4,0,0.37,111.33,0,0,0,2.18,0,0,0,8.27,1.04,0,0
 60-70,9.91,0,51.19,0,5.78,0,0,0.59,7.49,0,2.2,12.44,0,0,0,57.13,0,0,1.82,0,0,0,0,0,0.89,0,0
 72-82,0,0,31.32,0,6.13,0,4.33,0,0,0,0,4.72,0,0,1.7,19.08,0,0,0,0,0,0,0,0.7,0,0,0
 84-94,1.69,0,24.7,0,5.21,0,0,0,1.2,0,0,13.68,0,1.93,0,22.34,0,0,0,0.66,0,0,0,0,0,1.07,4.41
 96-106,0.76,1.56,7.38,0,2.23,0,0,0.56,0,0.72,0,2.31,0,0.59,0,6.26,0,0,0,0,0,0,0,0,0,0,0
108-118,0.7,1.32,8.91,1.02,0,0.62,0,0,1.7,0,0,3.57,0,0,0,5.81,0,0,0,0,0,0,0,0,10.28,0,0
120,0,1.49,44.41,0,18.38,0,0,3.52,0,0,0,1.34,0,0,7.52,106.01,0,0,0,0,0,0,0,0,0,0,0
