stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle
  3-4,15.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,11.73,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,4.67,0,0,3.39,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0.89,0,0,0,0,0.91,0,0,0,0
 24-34,0,1.1,0,0,0,0.61,1.58,0,0,0.73,0,0,1.35,0,0,11.75,0,0.95,0,0,0,0,0,0.93,0
 36-46,0,0,0,0,0,7.76,0,0,0,0,0,0.91,0,0,0,20.8,0,0,0,0,0,0.82,0,5.82,0
 48-58,0,0,0,0,0,127.57,3.74,0.39,0,0,0,0,0,1.01,0,14.59,1,0.69,0,0,0,0,0,7.69,0
 60-70,0,0,0,0,0,337.61,8.66,2.39,0,0,0,0,0,7.76,0.6,35.12,0,3.32,0,0,0,0,0,0,0
 72-82,0,0.93,0,1.13,4.25,265.91,16.56,4.38,0,0,3.11,0,0,11.32,0.56,5.35,0,0,0,0,0,2.42,1.5,2.43,0.87
 84-94,0,1.42,0,1.34,0,221.72,25.99,5.88,0,0,0,0,0,8.8,0,16.32,0,0,0,0,0,1.18,0,2.44,0
 96-106,0,5.6,0,0,3.78,140.32,22.44,8.89,0.81,0,0,0,0,14.59,2.57,16.2,0,0,0,0,0,0,0,2.23,0
108-118,0,0.93,0,0.58,0,122.4,20.99,4.03,0,0,0.43,0,0,13.49,0,10.13,0,1.94,0,4.69,0,0,0,0,0
120,0,0,0,0,1.46,148.45,38.8,8.99,0,2.58,0,0,0,40.69,0,10.32,0,0,0,0,0,0,0,0,0
