stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.67,208.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.32,788.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.88,0,0,0,20.16,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.84,0,0,38.71,0,0,63.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494.69,0,0,0,170.42,0,0,4.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.52,0,57.23,0,5.53,43.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.22,12.5,0,0,159.8,0,0,9.99,0,33.26,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,31.07,1.85,3.98,0,0,0,4.04,6.34,0,0,0,0,0,0.97,0,23.18,0,0,15.13,116.98,50.05,0,0,5.35,0,0,0,15.53,0,0,13.83,44.41,0,0,0,0,0
 24-34,0,0,0,0.65,4.87,1.09,18.51,0,0,2.3,5.79,0,0.75,0,0,11.61,0,0,0,32.22,0,0,30.82,758.66,5.18,2.17,0,0,0,0.83,0,0.97,0,0.78,4.46,72.76,0,0,6.24,0,2.48
 36-46,0,0,0,0,5.83,0,43.03,0,0,3.39,15.55,0,0,0,0,0.74,0,2.16,3.3,43.89,0,0,4.09,3214.39,0.64,2.43,1.48,0,0,0.59,0,2.07,0,0,0,223.08,0,0,3.27,0,1.02
 48-58,1.15,0,0,0,11.81,2.62,355.59,2.21,8.41,4.85,69.95,0,1.07,0.46,0,0,0.61,0,9.02,81.88,0,2,9.56,6226.84,0,3.86,3.07,0,0,1.67,0.65,0,0.37,0,0,523.58,0,0,4.62,0,15.37
 60-70,0,0,0,0,8.52,0,901.58,0,1.31,2.46,85.53,0,0,0.86,0,0,0.8,0,14.81,57.37,0,9.58,5.37,5183.81,0,0.72,9.7,0,0,0,0,0,0,2.96,0,433.22,0,0,5.23,1.79,3.56
 72-82,0,0,0,0,8.29,1.6,1234.96,0.5,0,3.8,79.23,0.6,1.36,1.43,0,0,2.14,0,8,77.13,0,2.71,5.37,2864.16,0.55,9.37,1.9,0,0,1.13,0,0,0,0,0,137.02,0.91,1.45,0.62,1.27,19.93
 84-94,0,0,0,0,11.93,7.11,787.53,0,0.56,5.19,39.81,0.82,0,7.63,9.04,0,0.59,0,2.48,53.05,0,0.86,5.13,1813.32,3.88,4.04,3.1,0,0,3.39,0,0,0,0,0,117.81,0,2.65,2.09,0.62,21.38
 96-106,0,0,0,0,17.42,1.86,687.13,0,0,1.33,71.41,0,1.61,4.5,0,1.03,0,0.63,0,31.4,0.68,0,2.52,1166.08,1.22,1.19,7.01,0,0,7.48,0,0,0,0,0,21.3,0,2.81,0.56,0,8.56
108-118,0,0,0,0,22.19,7.16,561.73,3.81,0,0.43,44.59,0,0.47,12.12,0.45,0,0,0,0,20.09,0,0,1.1,1504.06,2.34,0.97,2.95,0,1.55,3.03,0,0,0,0,0,24.7,0,0,0,0,0
120,0,0,1.37,0,11.97,9.67,463.88,0,2.7,0,40.72,0,0,8.65,0,0,11.76,0,0,48.9,0,3.99,1.42,1781.57,3.33,0,0,0,0,2.64,0,0,0,0,0,35.76,0,0,3.84,2.31,0
