stage,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,lateral.line,mesenchyme,muscle,neural,somites,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,3.41,0.81,9.19,0,0,0
 24-34,0,0,0,0,1.24,0,0,0.9,9.66,2.08,0.59,1.37,0,0
 36-46,0,0,0,0,0,0,0,14.15,5.06,1.42,0,0,0,0
 48-58,0,0,0,0,2,0,0,5.16,10.23,5.43,0,0.38,0,0
 60-70,0,0,0.86,0,0,1.12,0.59,9.14,2.96,0.96,0,1,0,0
 72-82,0,0,0,0.51,1.74,3.68,0,31.35,10.2,3.11,0,0,0,0
 84-94,0.69,0,1.99,0,0,1.3,0,34.64,9.28,1.41,0,0,0.84,0
 96-106,0,0,0.65,0,1.25,0,0,12.71,3.21,0,0,0,0,0
108-118,0,1.87,1.09,1.43,0,1.87,0,42.63,2.21,8.17,0,0,0,0.91
120,0,0,1.66,0,0,0,0,38.12,3.51,14.42,0,0,0,0
