stage,eye,ionocyte,mesenchyme,muscle,neural,spinal_cord
 14-21,0,0,0,0,0.99,0
 24-34,0,0,0,0,0,1.03
 48-58,0,0,0,0.4,0.78,2.07
 60-70,1.33,0,0.62,0,4.08,0
 72-82,0.84,0.66,0.6,0,3.29,1.78
 84-94,0,0,0,0,2.03,0
108-118,0,0,3.79,0,0,0
120,4.55,0,0,0,3.12,0
