stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,268.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.31,138.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.44,0,0,0,0,0,4.01,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,65.17,0,0,0,15.03,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.54,0,0,0,60.38,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.92,1.17,2.41,0,0,0,0,0,0,0,0,0,0,0,0.86,0,1.87,15.59,0,0,0,0,0,0,5.73,15.51,13.96,0,0,0
 24-34,0,0,0,0,2.28,0,2.37,0,0,0,0,0,0,1.21,0,0,0,0,5.44,0,0.89,13.12,0,0,0,0,0,0.89,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.84,0,0,5.11,0,0,0,0,0,0,0,0,0.58,0,0,8.36,0,0,0,0,0,0,0,0,11.35,0,0,0
 48-58,0,0,0,0,3.81,0,16.98,0,0,3.33,0.61,0,0,0,0,0,0,0,2.97,0,0.47,29.86,0,0,0,0,0,3.26,0,0,4.77,0,0,0
 60-70,0,0,0,0,0,0.83,16.36,0,0,0.93,0,0,0,0,0,0,0,0,8.03,0,1.94,16.89,1.07,0,2.15,0,0,0,0,0,3.52,0,0,0
 72-82,0,0,0,0,0.98,0.68,19.24,0,0.62,7.48,0,0,1.43,0,0,0,0,0,22.14,0.72,0.52,35.16,0,1.13,0.53,0,0.84,4.41,0,0,8.56,0.87,1.7,0
 84-94,0,0,0,0,0.61,2.83,25.26,0.63,3.13,4,0,0,1.02,2.32,0,0.81,0,0,1.66,0,0,21.87,0,0,0,0,0,3.92,0,0,0,0,1.03,0
 96-106,0,0,0.74,0,7.41,6.11,15.38,0,0,2.77,0.69,0,2.17,0.74,0,0,0,0,19.71,0,3.53,21.8,0.57,2.84,0.6,0,0,5.95,0,0,8.61,0,4.37,0
108-118,0,0,0,0,2.96,0,11.12,2.22,0,10.88,0.92,0,0,2.06,0.86,0,3.81,1,40.26,1.04,2.67,53.04,0,1.44,0,0,0.76,10.79,0,0,0.58,0,0.96,1.24
120,0,0,3.73,0,5.1,0,41.01,1.26,4.8,5.36,1.31,0,0,10.91,0,0,0,0,8.28,18.32,8.06,77.84,0,0,0,0,0,3.76,0,0,0,0,24.39,0
