stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,48.27,0,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.36,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.59,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,34.44,0,0,0,0,0,0,5.85,0,0,0,0,0,0,0,0,0
 14-21,0,18.22,2.88,3.65,0,2.09,0,0,0,2.6,0,0,0,0,0,0,0,0,1.05,1.05,0,0,0,62.09,0,15.26,1.04,0,0,0,0,0,0,3,52.02,0,0,0,0,0
 24-34,0,11.18,0.77,2.84,0,1.17,0,0,0,0.94,0.67,0,0,0,0,0,0,0,0,2.34,0,0,3.8,446.75,0,110.62,5.89,0,0,0,0,0,0,0,93.44,0,0,0.64,0,0
 36-46,0,8.17,0,23.36,0,42.39,0,0,0,14.07,0,0,0.65,0,0,0,0,0,2.39,20.57,0,0,4.13,1020.15,0,161.73,5.8,0,0,0.87,0.73,0,0,0,205.3,0,0,0,0,0
 48-58,0,6.69,0,8.13,0,162.31,0,1.52,0.67,37.2,0,0,0.44,0,0,3.23,0,0,0.43,39.71,1.96,0,3.92,1595,0,87.57,4.56,0,0,0,0,0,0.9,0,276.75,0,0,0,0,3.19
 60-70,0,2.42,0,9.18,0,719.51,0,4.22,23.82,37.89,0,0,10.19,0,0,0.61,0,0,0,72.48,0,6.53,1.81,2638.17,0,82.14,6.69,0,2.46,6.41,0,0,0,0,365.88,0,0.63,8.3,0,0
 72-82,0,21.16,0,31.39,5.91,1923.88,0,0.58,7.79,140.26,3.49,0,2.45,4.08,0,3.58,1.56,3.6,0,170.62,1.79,1.04,1.31,3201.22,0,166.27,5.3,0,0.71,1,0,1.6,0,0,436.02,3.25,11.52,4.96,3.24,1.3
 84-94,0,8.57,0,16.34,1.66,1425.22,0,1.57,0.91,171.2,5.61,0,3.74,0,1.78,4.06,2.29,0,0,154.15,0,8.34,4.69,1769,0,123.08,20.34,0,0,10.49,0,0.74,0,0,245.81,2,2.15,8.44,1.25,7.47
 96-106,0,18.11,0,27.78,0,2454.53,5.25,3.59,2.2,229.11,5.88,0,3.41,15.1,0.59,10.87,0.82,7.73,0,131.79,0,5.27,5.44,1937.66,0,215.51,25.63,0,0,0,2.7,0.68,0,0,168.18,8.37,0,4.45,1.57,7.21
108-118,0,16.29,0,26.31,2.45,1696.2,1.79,2.78,0,178.47,10.54,0,0.43,0.82,0.51,2.31,0.76,10.38,2.52,146.83,0,2.3,8.04,2044.84,0,128.5,3.66,0,4.36,9.29,0,4.08,0,0,121.95,4.88,4.54,4.79,2.4,0
120,0,18.46,2.55,34.28,0,1092.94,0,4.71,6.64,189.85,4,0,1.17,2.16,0,8.53,0,11.03,0,171.53,0,9.27,9.7,2888.53,2.26,221.51,22.91,0,0,0,0,0,0,0,170.66,1.37,9.46,6.98,1.8,0
