stage,eye,mesenchyme,olfactory
 24-34,0,0,18.99
 36-46,0,0,5.4
 48-58,0,0,0.43
 60-70,0,0,9.93
 72-82,0,1.17,35.36
 84-94,0,0,31.94
 96-106,0,0,56.19
108-118,0,0,12.45
120,3.18,1.64,0
