stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,247.04,8244.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425.56,0,0,0,0,0,0,0,0
  5-6,115.2,1364.39,0,0,0,0,0,0,0,0,27.54,0,0,0,0,0,0,0,0,0,0,0,9.15,54.35,0,0,0,0,0,0,0,0
  7-9,8.72,0,0,0,0,30.48,0,0,0,0,22.83,0,0,0,0,0,0,0,0,146.33,3.34,0,75.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,8.04,0,5.53,11.68,0,0,0,0,5.18,0,0,0,0,0,0,0,0,124.89,7.02,0,17.26,0,0,0,8.76,0,0,0,0,0
 14-21,0,0,1.27,15.58,2.04,2.61,0.87,0,0,1.2,0,0,0.88,0,0,0,3.16,0,0.98,43.92,4.9,0,0.82,0,0.91,1.85,0,2.92,5.54,0,0,1.35
 24-34,0,0,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0.69,2.53,0,1.06,18.37,0,0.82,0,3.86,0,0,0,0,1.48,0,0,0
 36-46,0,0,0,0,0,2.45,0,0,1.26,0,0,0,0,0,0,0,1.77,0,1.51,10.08,0,0,0,0.58,0,0,0,0,2.26,0,0,1.8
 48-58,0,0,0,0.43,0,2.9,0,0.39,0.62,0,0,0,0,0,0,0,1.37,0,0.4,3.98,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,3.23,0,0.78,0.75,0,0,0,0,0,0,0,0.91,1.01,0,18.75,0,0,0,0,0,0,0,0,0.79,0,2.57,0
 72-82,0,0,0,0,0,2.62,0,0,6.7,0,0,0,0,0,0,0,1.08,0,0,2.22,0,2.03,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.32,0,0,0,0,1.35,0,0,0,0,0,0,0,3.39,0,2.52,1.46,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.69,0,11.03,0,0.75,1.57,0,0,0,0,0.92,0,0,0,0,0,6.55,0,0,0,0.6,0,0,0,0,0,0.93,0,0
108-118,0,0,0,0,0,1.63,0,0.59,1.4,0,0,0,0,0.78,0.43,0,7.08,0,0,10.26,0,0,0,0,0,0,0,0,0,0,0.63,0
120,0,0,0,0,0,1.31,0,0,15.82,0,0,3.41,0,0,0,0,0,0,0,5.84,0,0,0,0,0,0,0,0,0,0,0,0
