stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0
  5-6,15.46,112.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,6.81,0,0,0,0,0,13.01,0,36.77,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0
 14-21,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,4.89,0,4.07,0,0,0,2.1,0
 36-46,0,0,0,0,2.14,0,0,0,0.58,0,0,0,0,0,0,0.63
 48-58,0,0,0,0,0.37,0,0,0,17.22,1.41,1.15,0,0,0,0,0.43
 60-70,0,0,0,0,2.04,0,0,0,2.61,0,0,0,0,0,0,3.21
 72-82,0,0,0,2.65,3.05,0,9.53,0,10.29,0.62,8.48,0,0,0,0,2.19
 84-94,0,0,0,1.25,0,0,0,0,16.84,0,1.54,0,0,0,0.65,0
 96-106,0,0,0,0,0.76,0.9,13.92,0,31.07,0,0,0,0,0.82,0,0
108-118,0,0,0,0.48,0,0,1.56,0.58,10.58,2.75,7.57,0.69,0,0.43,0,0.72
120,0,0,0,5.69,2.07,0,0,0,37.11,0,4.03,0,0,1.58,0,0
