stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0
 10-12,5.32,0,0,0,0,0,0,0,0,0,0,0,4.39,0,0,0,4.75,0,0,0,0
 14-21,1.1,0,0.84,0,0,0,0.81,4.72,0,0,0,0,2.42,0,0,0,0,0,1.11,0,0
 24-34,0,1.43,0,0,0,0,0,0,2.05,0,0,0,3.17,0,0,0,0,0,0.73,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,4.48,3.21,0,0,0,0,0,0.72,0,0
 48-58,0,0,0,3.31,1.52,0,0,0,4.67,0.59,0,0,17.33,0,0,0,0,0,2.58,0,0
 60-70,0,0,0,0,0,0,1.86,0,8.49,1.76,0.64,5.53,14.67,0,0,0,0,0,3.86,0,0
 72-82,0,0.85,0,4.44,0,0.98,1.24,0,24.47,0.96,6.43,1.5,34.25,0,0,0,0,0,4.1,0,1.47
 84-94,0,2.8,0,0,0,0.66,0,0,12.15,0,7.57,2.97,15.79,0,0,1.11,0,0,5.41,0.84,2.31
 96-106,0,5.02,0,1.67,0.6,0,1.74,0,27.65,2.7,3.76,5.34,58.92,0,2.9,0,0,0,0,0,2.86
108-118,0,12.81,0,1.4,2.35,0,4.97,0,50.9,2.96,4.79,0.43,13.81,0,0,0,0,1.06,2.21,0,1.07
120,0,21.2,0,14.17,5.23,0,0,0,55.13,3.22,14.27,7.43,21.23,0,0,0,0,0,0,0,7.28
