stage,eye,glial,immune,liver,mesenchyme,neural,olfactory,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,8.05,0,0
 14-21,0,0,0,5.54,0,0,0,0,0,0
 24-34,0,0,0,17.25,0,0,0,0,0,0
 36-46,0.92,0,0,4.79,0,1.24,0,0,0,0
 48-58,0,0,0,0,0,2.6,0,0,0.56,0
 60-70,0,0,0.67,0,0,1.1,0,0,0,0
 72-82,0,1.39,0,1.8,2.1,2.61,0,0,0,0
 84-94,7.23,0,0,0.58,0,2.83,0.93,0,0,0
 96-106,0,0,0,2.55,2.12,0,0,0,0,0
108-118,1.45,0,0.78,13.08,0,4.86,0,0.5,0,2.77
120,0,0,0,5.8,0,5.3,0,0,0,0
