stage,blastomeres,epidermis,eye,glial,iridophores,melanocytes,mesenchyme,neural,paraxial.mesoderm,somites,spinal.cord,vasculature
  3-4,11.82,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.08,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.89,0,0,0,0,0,13.94,0.98,1.16,2.3,0
 24-34,0,0,1.35,0,0,0,0,11.59,0,0,0.75,0
 36-46,0,0,1.64,0,0,12.97,0,10.51,0,0,0,0
 48-58,0,0,1.15,0,0,0,0,6.42,0,0,0.43,0
 60-70,0,0,5.05,0,0,0,0,3.16,0,0,0,0
 72-82,0,0,6.22,1.78,0,0,1.85,5.59,0,0,0,0
 84-94,0,0,5.49,0,0,0,0,0,0,0,0,0
 96-106,0,0,4.9,0,0,0,0,0,0,0,0,1.42
108-118,0,0,0,0,0.61,0,0,0,0,0,0,0
