stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,17.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,2.45,0,0,0,0,0,4.1,902.3,0,0
 24-34,0,0,0,0.8,0,0,2.07,0.62,0,0,0.67,0,0.99,0,0,0,1.91,0,1.84,263.32,0,0,0,3.97,4.13,0,7405.67,0,0
 36-46,0,0,0,0.93,0,0,4.52,0,0.84,1.59,0,0,1.55,0,0,0,7.55,0,2.76,2252.42,1.63,0,0,0.64,0,0,5937.51,0,1.02
 48-58,0,0,0,7.99,0,0,26.81,0,0,64.15,0,4.12,0,0,0,0,3.36,2.06,0,2534.36,0,0,0,3.21,0,0,3520.71,0,0
 60-70,0,0,0,0,0,0,23.73,0,0,6.8,0,3.78,0,0,0,11.2,3.77,0,0,2362.44,1.22,0,0,0,0,0,2001.02,0,0
 72-82,0,0,0,0,0,0,32.41,0,0,0,0,0,0,0,0,0,4.27,0,0,3889.66,0,0,0,0,0,0,1750.75,0,0
 84-94,0,9.94,0,45.7,0,0,10.73,0,0,0,0,0,0,0,0,0,0,15.95,0,806,0,0,0,2.96,0,0,1446.99,0,0
 96-106,0,0,0,0,6.61,0,5.38,34.22,0,3.76,2.59,0.66,0,1.18,1.03,0,0.88,0,0,856.56,0,0,0,0.7,0,0,2094,0,0
108-118,0,0,0.68,0,0.69,0,4.22,0,2.11,4.46,0.51,142.4,0,0,0,0,4.31,0,0,1555.39,1.6,0,1.49,0.47,0,0,1188.69,0.5,7.37
120,0,0,0,2.67,0,14.93,0,0,0,0,0,21.33,0,0,0,0,6.5,2.91,7.84,1933.51,0,0,0,0,0,0,1809.19,0,0
