stage,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,neural,olfactory,somites,spinal.cord
 14-21,2.12,116.76,0,0,0,0,0.96,0.83,0,0,0
 24-34,0,162.62,0,0,0,0,3.8,8.06,0,0.92,5.54
 36-46,0,44.17,0,0,0,0,3.67,3.98,1.21,0,0
 48-58,0,5.87,0,0,0,0,0.44,0,0,0,0
 60-70,0,3.17,3.05,0,0,0,0,1.24,0,0,0
 72-82,0,1.56,0,0,0,1.06,0.88,0,0,0,0
 84-94,0,0.98,0,0.97,0,0,0,0,0,0,0
 96-106,0,13.97,10.21,0,0.57,5.57,1.37,2.85,0,0,0
108-118,0,4.82,2.68,0,0.47,2.77,1.38,0,0,0,0
120,1.58,1.54,0,0,0,18.09,1.25,0,0,0,0
