stage,endoderm,eye,glial,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature
  7-9,6.4,0,0,0,0,0,4.57,0,0,0,0,0
 10-12,4.3,0,0,0,0,0,13.16,0,0,0,0,0
 14-21,0,0,0,0,0,0,3.04,0,0,0,0,0
 24-34,0,0,0,0,0,1.68,12.91,0,0,1.89,1.21,0.78
 36-46,0,0,0,0,1.98,0,6.93,0,0,0,14.89,0
 48-58,0,3.88,0,0,0,0,32.87,0,0,0.66,0,0
 60-70,0,5.89,0.66,0,1.48,0,11.14,0,0,3.04,0.83,0
 72-82,0,1.82,0,0,1.72,0,26.25,0.93,0,2.11,3.41,0
 84-94,0,8.62,0.99,0,1.61,0,4.1,2.6,0.71,3.23,0,0
 96-106,0,2.6,0,0.71,0,0,3.73,2.4,0,0,0,0
108-118,0,0,0,0,0.94,0,6.59,1.5,0,1.14,0,0
120,0,5.16,0,0,7.13,0,20.64,0,0,0,0,0
