stage,axial,blastomeres,endocrine.pancreas,eye,fast.muscle,glial,mesenchyme,neural,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,0,8.64,0,0,0,0,0,0,0,0,0,0
  7-9,3.58,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.06,0,0
 24-34,0,0,0,0,0,0,0,5.33,0,1.57,0,0
 36-46,0,0,0,1.03,0,0,0,2.32,0,11.37,0,0
 48-58,0,0,0,1.78,0,0,0,9.07,0,40.69,0,0
 60-70,0,0,0,9.3,0,0,0,3.44,2.32,117.5,0,0
 72-82,0,0,1.08,0.8,0,2.17,1.69,6.86,0,127.75,0,0.77
 84-94,0,0,0,2.11,0,1.03,0,0,0,60.66,0,3.18
 96-106,0,0,0,0,0,0,0,3.58,0,446.52,0,3.13
108-118,0,0,0,0,0.75,0,0,0,0,233.3,0.44,2.03
120,0,0,0,10.62,0,0,0,0,0,147.13,0,0
