stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,mesenchyme,mucous,muscle,neural,periderm,spinal.cord,vasculature
  5-6,23.08,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,3.41,0.65,0,0,0,0,0,0,0,6.89,32.18,5.94,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,9.27,0,0
 48-58,0,0,0,5.82,1.28,0,0,0,0,0,0,6.61,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,4.79,0,0
 72-82,0,0,2.26,0.55,0,0,0,0.64,0,0.55,3.12,17.04,0.87,0
 84-94,0,0,0,0,0,1.45,2.1,0,0,0,0,3.21,0,0
 96-106,0,0,0,0,0,0,3.35,0,2.72,0,2.8,36.46,0,0
108-118,0,1.97,0,0,0,0,2.84,1.93,0,0,3.22,9.18,0,0.79
120,0,3.81,0,0,0,0,4.5,0,0,0,0,5.75,0,0
