stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,57.74,1832.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.81,0,0,0,0,0,0,0,0,0,0
  5-6,111.11,1356.91,0,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.21,0,0,0,0,0,25.66,0,0,0,0,0,0,0,0,0,0
  7-9,5.83,0,0,3.93,0,0,0,22.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.47,11.46,0,0,28.15,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.09,0,0,0,63.43,0,4.52,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,173.13,5.11,0,1.41,0.82,0,0,0,0,0,0,14.39,0,0.93,0,0,0,0.83,0,1.12,27.48,31.28,3.47,3.56,2.61,0,42.7,0,7.07,3.12,4.01,20.58,0,0,2.2,0,0
 24-34,0,0,3.18,1.88,226.97,4.05,0,1.51,19.49,8.73,2.5,1.48,0,3.61,7.74,28.69,0,1.23,0,0.8,2.24,8.27,0,4.39,166.63,33.06,4.78,2.74,0,0,108.79,0,2.17,2.88,22.86,75.14,0,0,31.99,0,1.68
 36-46,0,0,0.69,0,171.61,0,0,10.72,30.28,15.75,6.34,2.11,0,0.92,36.94,23.4,0,1.94,0,0,3.61,0,0,2.47,359.51,21.65,5.53,0.58,0,0,175.87,0,0,4.98,0,69.19,0,0,11.03,0,0
 48-58,0,0,0,0,136.22,1.83,0,32.65,30.61,10.16,8.24,0,0.93,0.97,21.38,12.64,2.34,0,4.87,0,8.49,2.55,0,0.57,513.93,21.19,0,1.11,0,0,110.27,0,0,0,0,89.36,0,0.64,8.76,0,0
 60-70,0,0,0,0,130.34,1.31,0,96.78,70.29,14.42,4.69,1.24,1.32,0,21,14.94,0.7,2.77,15.15,0,7.29,8.56,0,1.97,664.58,2.95,4.88,1.01,0,0,154.46,0.64,0,0,0,128.31,4.26,1.03,13.44,0,1.15
 72-82,0,0,8.42,0,111.68,2.04,0,242.15,44.83,17.77,17.52,9.26,0.52,0,41.97,17.33,0.49,1.95,7.72,0,41.72,19.39,0.49,0.66,1002.38,3.43,4.95,1.15,0,2.36,151.95,0,0,0.49,0,135.69,2.23,0.5,0.65,0.61,21.48
 84-94,0,0,12.93,0,281.39,0.97,0,196.29,101.4,40.35,10.16,22.44,5.83,5.61,90.37,50.31,1.71,3.75,18.92,0,22.26,11.36,2.32,1.63,689,5.32,2.36,0,0,0,391.48,0,0,4.31,0,129.56,5.6,0,16.34,0.68,6.2
 96-106,0,0,8.53,0,271.31,7.06,9.38,192.23,87.28,15.86,21.88,20.8,0,3.58,75.46,34.56,2.83,1.83,15.52,0,42.81,24.4,0,0.9,589.41,0.75,6.53,6.54,0,0,382.85,0,0,0,0,46.2,7.34,0,27.04,1.91,0
108-118,0,0,5.86,0,307.13,2.63,1.08,167.28,122.2,31.96,47.74,20.7,0,1.18,90.14,50.42,18.26,3.74,39.37,0,42.65,11.61,0.94,1.94,763.86,0.48,8.09,1.1,0,0,239.84,0,0,1.26,0,17.86,16.29,0,1.82,0.49,0
120,0,0,0,0,336.25,0,1.58,148.86,89.07,20.08,8.91,20.39,0,0,54.07,40.58,1.05,1.74,17.52,1.6,26.22,17.95,0,0,987.31,1.29,1.46,7.66,0,0,217.51,0,0,1.22,0,15.06,2.76,6,5.45,0,0
