stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,1633.15,31199.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123.59,0,0,0,0,0,0,0,0
  5-6,2023.51,26837.82,0,39.86,0,0,0,0,0,0,160.17,0,0,0,0,0,0,1239.01,58.79,0,0,164.17,747.54,0,0,0,0,0,0,0,0
  7-9,274.49,307.62,0,307.5,0,0,575.88,0,0,0,258.96,0,0,0,0,0,0,6842.43,298.88,0,0,2044.45,34.01,123.34,0,0,0,0,0,0,0
 10-12,4.89,57.15,0,22.9,0,6.59,99.37,0,0,0,8.43,0,0,0,0,0,0,730.1,47.27,0,0,170.35,11.01,46.01,0,24.11,0,0,0,0,0
 14-21,0,0,1.11,0.8,3.49,1.12,2.35,0,0,1.08,0.81,0,0,6.57,0,0,2.11,59.33,6.61,0.84,0,0,8.55,1.8,11.58,0,2.82,6.78,15.11,0,0
 24-34,0,0,0,0,1.92,0,0.63,0,0,0,0,4.14,0,1.62,0,0,1.5,9.99,1.52,0,0,0,0.64,0,0,0,0,0,2.02,0,0
 36-46,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,3.72,0.57,0,0,0,0,1.59,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,4.4,0.44,0.78,0,0,0,2.78,0,0,0,0.58,13.74,2.2,0,0,0,0,0,0,0,0,0,0.89,0,0
 60-70,0,0,0,0,2.69,0,7.25,0,0.73,0,0,0,0,1.6,0,0,0,6.28,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,2.87,0,0,0,0,0,0,0,0.73,0,0,3.59,0.61,0,0,0,0,0,0,0,0,0,3.49,0,0
 84-94,0,0,0,0,0.91,0,5.32,0,0,0,0,0,0,1.1,0,0,0,5.71,2.07,0,0,0,0,0,0,2.26,0,0,0.65,0,0
 96-106,0,0,0.61,0,1.8,0,2.89,0,0,1.78,0,0,0,1.87,0,0,0,2.82,0,0,0,0,0,0.85,0,0,0,0,2.16,0.83,0
108-118,0,0,0.93,0,0,0,0,0,0,0.62,0,0,0,3.82,0,0.98,0,5.1,0,0,0,0,3.19,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73,0,0,0,9.04,0,0,1.02,0,0,0,0,0,0,0,12.11,0,8.35
