stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,23.73,402.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.03,404.73,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,20.03,0,0,14.27,0,24.46,0,0,0,0,0,0,0
  7-9,10.28,48.44,0,17.3,0,0,0,121.47,0,0,0,0,0,13.09,0,0,0,0,0,0,0,600.26,7.62,0,119.23,0,3.26,0,0,0,0,0,0,0
 10-12,0,41.42,0,4.66,0,0,0,48.77,0,0,0,0,0,12.62,0,0,0,0,0,0,0,589.64,0,0,164.88,0,3.81,0,3.51,0,0,0,0,0
 14-21,0,0,1.69,7.85,5.41,2.19,0,1.03,0,0,0,0,3.21,0,0.97,0,1.47,0,0,0,0,33.26,0.86,0.92,0,0,0,0.91,50.34,2.54,11.52,0,0.9,0
 24-34,0,0,1.28,4.39,2.56,0,0,6.55,0,0,0,0,9.02,0,0.88,0,30.88,0.92,4.66,0,7.59,66.71,0,0,0,0,0,0,63.46,0,2.83,0,0,10.85
 36-46,0,0,0,0,2.38,0,0,6.14,0,0,0,0.64,2.51,0,0.6,2.44,7.27,2.47,2.96,0,0.94,23.22,0,0,0,0,9.04,0,41.64,0,2.65,0,0,38.78
 48-58,0,0,0.86,0,11.08,0,0,7.93,0,7.82,0,2.08,7.2,0,0,10.84,26.13,1.9,3.9,0,0.8,34.08,0,0,0,0,0.9,0,5.88,0,4.72,0,0.44,31.14
 60-70,0,0,0.7,0,0,0,0,14.31,3.1,0,0.63,0.81,6.86,0,0,21.46,56.64,0,1.35,9.11,1.06,14.67,0,1.08,0,0,0.71,0,12.65,0,5.66,0,0,35.06
 72-82,0,0,6.77,0,0.85,0.94,3.68,6.27,0,0,0,0,26.89,0,0,1.28,30.24,0,3.83,0,0.61,22.85,0,0.74,0,0,0,0,9.35,0,1.01,0,0,34.41
 84-94,0,0,6.16,1.6,3.52,0,9.25,25.44,0,0,0,0,23.97,0,0,18.33,72.32,0,6.22,2.99,0,19.15,0,0,0,0,4.29,0,7.5,0,0,0,2.23,13.74
 96-106,0,0,7.86,0.72,0,0,4.42,26.27,0,0.68,0,0,23.4,0,1.22,5.61,20.3,0,2.91,0,0,42.67,0,0,0,0,9.05,0,12.28,0,0.58,0.83,0,6.25
108-118,0,0,4.04,0.44,0.96,1.31,16.94,13.52,0,0,0,2.04,19.74,0,0,10.94,51.08,0,15.65,0,2.82,27.68,0,0.89,0,2.89,6.11,0,3,0,0,0,0,25.16
120,0,0,0,3.32,2.32,4.48,8.76,18.24,0,0,0,4.1,26.89,0,1.06,4.54,27.14,0,11.22,0,5.45,26.42,2.47,0,0,0,5.08,0,7.13,0,0,0,0,4.69
