stage,epidermis,eye,gut,ionocyte,neural,olfactory,periderm,taste
 14-21,0,0,0,0,0,0,1.46,0
 24-34,0,0,0,0,1.85,0,1.7,0
 36-46,0,0,0.56,0,1.55,0,2.44,0
 48-58,0,0,0,0,0,0,2.23,0
 60-70,0,0,0,0,0,0,0.6,0
 72-82,0,0,0,0,0,0,0.86,0.81
 84-94,0.68,0,0,0,0,0,14.61,1.53
 96-106,0,0,0.62,0,1.28,0,3.8,0.56
108-118,0,0.55,1.2,1.07,0,0,2.38,0
120,0,0,0,0,5.5,1.32,0,0
