stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature
 10-12,11.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0.95,0.91,0,0,0,1.05,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.6,0,0,3.48,29.09,0,0,0,2.73,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,3.71,0,0.94,8.45,76.69,0,1.69,0,0,0,0
 48-58,0,0,3.2,0,0.68,0.74,0,0,0,0,46.31,0,0,9.38,148.1,0,0,0,0.43,0,0
 60-70,0,0.82,6.71,0,0,0.96,0,0,0,0,317.79,0,0,12.05,125.54,0,0,0,3.76,0,0
 72-82,0,1.37,3.46,0.68,0,9.92,0,0,0,0,443.55,0.55,0,9.37,46.15,0,0,0.6,0,0,0
 84-94,0,2.08,9.52,0,0,8.15,0,0,0.71,0,512.62,2.55,2.52,3.92,103.66,1.13,0,0,0,0,0
 96-106,0,0.79,2.17,0,0,8.89,0,0.79,0,0,267.61,0,1.2,0.84,42.49,0,0,0,2.06,0,0
108-118,0,1.46,13.36,0,0,24.67,0.71,0,0,0.8,289.17,0.74,0,3.34,95.44,0,0,0,0,0.75,2.36
120,0,1.07,0,0,0,48.29,0,0,0,0,405.67,0,0,13.77,105.23,0,0,1.41,0,0,0
