stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.22,66.39,0,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.49,278.89,0,66.79,0,0,644.95,0,0,0,0,0,4547.98,0,0,0,0,0,0,0,0,0,0,9993.15,18.05,0,0,465.79,0,9.39,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,89.13,0,725.73,0,62.93,688.7,0,0,0,0,0,3314.24,0,0,0,0,0,3.73,0,0,0,0,9410.81,65.45,0,0,1955.26,0,4.05,5.62,0,161.6,0,188.06,0,0,0,0,0,0
 14-21,0,0,0,26.93,1335.31,305.42,4.82,0,98.2,0,1.64,86.57,292.11,0.85,0,51.55,0,1.98,3.13,234.19,4.97,0,71.54,478.48,14.15,11.51,85.68,37.95,0,56.72,0,46.41,12.8,590.68,1056.73,253.42,0,0,91.38,0,0
 24-34,0,0,0,2.06,235.75,18.97,5.82,0,206.24,0,0.7,12.21,20.08,2.56,3.78,55.75,0.7,6.04,3.71,242.46,6.97,0,37.68,308.96,2.42,2.05,32.93,0,0,39.13,0,0,3.67,109.49,47.23,40.66,0,0,160.55,0,0
 36-46,0,0,0,2.15,78.11,3.6,293.63,0,128.89,16.32,3.16,22.88,0.76,3.71,39.29,11.77,1.95,2.4,7.32,130.51,6.76,1.2,25.42,98.2,1.28,0,24.29,0,0,50.24,0,0,0,64.72,0,3.32,0,0,100.32,0,3.36
 48-58,0,0,0,2.33,32.34,4.71,1855.2,1.04,83.22,19.25,31.31,24.72,7.16,0.5,6.44,4.79,0,8.21,3.48,75.08,0,2.94,21.28,180.92,0,0.81,13.87,0,0,70.82,0,0,0,38.21,0,30.07,0,1.31,52.33,0,0
 60-70,0,0,0,0,45.96,1.93,2656.96,4.35,145.33,25.4,1.63,19.38,2.93,0.76,90.74,8.14,0,11.44,8.63,69.47,0,5.04,5.73,73.69,0,0,4.24,0.81,0,80.88,0,0,0,35.95,0,50.41,1.06,5.55,44.48,2.11,0
 72-82,0,0,0,0,18.48,1.65,996.82,4.25,32.14,20.16,14.81,14.25,0.87,0.75,25,18.35,0,16.13,0,51.03,0,1.76,7.91,51.36,0,0,1.75,1.13,0,28.47,0,0,0,7.76,0,10.7,1.36,10.58,49.45,4.6,6.61
 84-94,0,0,0,0.76,52.47,1.19,1033.13,1.38,65.93,25.27,6.46,71.16,4.48,0,52.43,39.07,2.13,18.82,2.99,49.52,0,8.88,5.77,48.32,0,1.48,4.18,0,1.13,62.09,0,0,0,9.34,0,3.6,0,20.74,67.68,3.9,0
 96-106,0,0,0,1.06,71.68,7.67,461.31,6.19,96.01,7.81,12.49,59.37,0,1.29,62.76,29.78,0,47.72,0,49.54,0,0,5.42,71.16,0,0,8.36,2.41,0,70.66,0,0,0.6,6.85,0,0,2.18,8.18,37.38,9.57,0
108-118,0.5,0,0.84,1.55,93.69,0.56,444.97,0,153.18,12.39,7.19,89.87,0,0.58,71.95,37.89,0,21.79,2.09,69.23,0,1.55,3.24,64.8,0,0,1.27,0,0,55.61,0,0,1.35,8.74,0,0.72,0,1.67,55.55,4.7,0
120,0,0,0,0,48.31,0,420.6,0,156.7,52.51,29.3,25.15,0,4.21,141.46,19.73,0,38.1,0,24.25,1.69,6.84,6.33,44.63,1.1,0,8.24,0,0,41.21,0,0,0,6.24,0,0,0,2.15,72.57,5.41,0
