stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.81,282.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0,0,0
  5-6,0,83.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5,0,0,0,0,0,0,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0,55.52,0,0,0,14.54,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.51,5.34,0,0,4.41,0,0,0,0,0,4.51,5.09,0,0,0,0,0
 14-21,0,0,0,8.6,1.87,0,2,0.88,0,0,0.92,0,0,0,0,0,0,0,0,2.7,0,0,0,19.34,0,0,0,0,0,0,1.01,0,0,0,4.05,0,0,0,0,0
 24-34,0,0,1.21,1.41,0,0,7.03,1.92,0.99,0,0.64,0,0.69,0,0,0,0,0,0,3.05,0,0,3.08,83.7,0,1.36,0,0,0,0,0,0,0,0.61,43.63,0,0,5.16,0,0
 36-46,0,0,0,0.65,0,0,9.02,0,0.81,5.33,0,0.76,1.73,0.72,0,0,0,0,0,5.73,1.7,0,1.65,140.25,1.3,7.33,0.58,0,0,0,0,0,0,0,78.43,0,0,1.73,0,0.85
 48-58,0,0,0,0,0,0,25.01,0,3.26,4.22,0,0.54,0,0,8.77,0,0,0,6.78,9.47,5.04,1.03,8.61,146.5,6.56,4.6,1.16,0,0,0.85,0,0,0,0,54.18,0,0,5.54,0,6.09
 60-70,0,0,0,4.92,0.69,0,107.9,0.61,18.29,33.77,0.57,0,5.55,4.95,0,0,3.15,0,0,46.96,4.77,2.88,0.8,296.08,4.12,4.35,1.93,0,0.96,1.98,0,0.68,0,0,105.7,0,0,3.07,0,4.33
 72-82,0,0,0,4.6,0.64,0,147.11,0.49,5.24,45.39,0,0,2.54,1.48,0,0,0.71,0,0,60.16,8.28,1.4,6.64,332.01,0.52,8.9,4.87,0,0,0,0,0,0,0,88.46,0,0.51,2.66,0,7.34
 84-94,0,0,0,11.14,8.61,0,84.59,0,6.77,36.81,1.69,0,0,3.73,0.92,0.61,2.28,0,0,62.41,9.11,0.58,2.99,288.69,1.43,6.43,0,0,0,6.72,0,0.6,0,0,60.66,0,0,7.01,0,19.13
 96-106,0,0,3.55,11.82,10.9,0,132.83,2.24,22.87,73.12,5.21,0,2.78,1.15,0,0,4.55,1.81,0,89.38,3.7,0,2.92,250.22,0.64,3.58,4,0,1.44,2.76,0,0.73,0,0,18.09,0,2.14,19.13,1.54,22.89
108-118,0,0,0,13.66,7.46,0,132.93,2.14,13.89,83.78,2.72,0,0,2.11,3.53,2.81,3.6,2.27,2.61,95.65,15.08,3.78,4.94,315.45,9.38,5.49,6.13,0,0,1.49,0,0.54,0.5,0,27.94,1.63,0.75,15.45,2.35,18.61
120,0,0,8.83,31.87,25.21,1.03,120.09,0,12.53,180.69,17.38,0,0,2.84,6.56,0,5.66,15.56,0,139.09,12.38,14.96,2.14,459.6,8.36,11.57,0,0,7.89,4.44,1.12,0,0,0,30.92,1.37,0,6.98,0,0
