stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,90.47,2337.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.59,0,0,0,0,0,0,0,0,0,0
  5-6,101.39,1481.69,0,10.49,0,0,0,0,0,0,0,0,0,48.12,0,0,0,0,0,0,0,0,0,0,76.83,0,0,0,18.61,0,42.17,0,0,0,0,0,0,0,0,0,0
  7-9,77.58,22.32,0,92.23,0,0,0,273.63,0,0,0,0,0,89.18,0,0,0,0,0,0,0,0,0,0,1757.97,57.79,0,0,527.47,0,3.31,16.97,0,9.82,0,0,0,0,0,0,0
 10-12,0,88.59,0,156.61,0,17.65,0,240.55,0,0,0,0,0,34.87,0,0,0,0,14.93,0,0,0,0,0,1808.13,33.23,0,0,529.13,0,15.93,4.8,7.52,38.16,0,0,0,0,0,0,0
 14-21,0,0,0,5.35,29.69,5.59,0,15.59,0,0,0,10.85,2.17,0,0,0,0,0,0,0,16.14,0,0,24.05,350.57,6.97,2.47,0,7.44,0,16.65,0,30.08,1.04,33.88,108.68,0,0,1.8,0,0.84
 24-34,0,0,0,0,9.93,2.44,0,65.1,0,0,0.63,6.38,3.36,0,0.77,0.65,0.99,2.06,0.76,2.19,39.26,0,0,18.21,553.3,3.21,2.51,6.71,0,0,13.64,0,0,0,5.92,88.77,0,0,9.81,0,0
 36-46,0,0,0,0,11.71,0.73,0,125.87,0,0,0,10.15,0.95,0,0,0,0.56,0,0.89,0,34.37,0,0.77,11.96,392.96,0,5.41,0.61,0,0.77,10.57,0,0,2.85,0,78.11,0,0,0,0,1.44
 48-58,0,0,0,0,3.59,0,0,129.92,0.38,0.78,1.85,19.91,0.39,0,0,9.76,0,0,5.2,0,53.16,0,5.98,6.48,221.88,0,1.97,2.32,0,0,0.5,0,0,0,0,44.13,0,0,9.07,0,5.37
 60-70,0,0,0,0,1.66,0,0,120.95,0,0.63,0,23.23,4.67,0,0,0,0,2.87,5.95,0.88,30.42,0,9.64,3.01,141.72,0,0,0.78,0,0,0,0,0,1.06,0,21.74,0,0,1.86,0,0
 72-82,0,0,1.76,0,8.02,0,0.76,57.12,0,0,0.82,24.68,0,0,0.76,0.53,0.72,0,0,0,31.6,0.74,0,3.09,137.22,0,1.2,1.09,0,0,5.54,0,0,0.57,0,8.12,0,0,2.56,0,4.75
 84-94,0,0,0,0,5.88,5.92,0,62.38,0,0,0,20.52,1.31,0,0,0,0,10.77,0,0,45.97,0.58,0,6.68,123.65,0.6,0,2.61,0,0,2.39,0,0,0,0,13.59,0,0,0,0,0
 96-106,0,0,1.06,0,1.89,6.39,0,36.67,0,3.32,0,17.55,1.29,0,0,0,0.99,0.63,20.36,0,43.76,0,0,3.1,89.87,0,1.47,2.55,0,0.81,5.92,0,0,1.27,0,17.72,0.71,0,1.85,0,0
108-118,0,0,0,0,4.59,4.6,0,50.86,0,0,1.16,33.27,0,0,0.8,2.21,0.44,0,0,0,39.42,6.43,2.15,6.32,139.21,0,0.46,5.41,0,0,11.43,0,0,0,0,3.57,0,0.67,3.86,0,3.34
120,0,0,0,0,16.28,2.7,0,34.73,0,0,1.98,63.31,0,0,0,0,0,1.62,0,0,32.85,0,4.77,0,186.14,1.62,0,4.74,0,0,8.03,0,0,3.96,0,4.27,0,0,0,6.61,0
