stage,endocrine.pancreas,epidermis,eye,glial,gut,mesenchyme,muscle,neural,otic,somites,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,2.47,0,0,2.05,0,0
 24-34,0,0,0,0,0,0,0,2.59,0,0,0,0
 36-46,0,0,0.55,0,0,0,0,1.48,0,0,0,0
 48-58,0,0,0,1.16,0,0,0,3.24,0,0,1.53,0
 60-70,0,0,0,0,0,0,0,0.97,0,0,5.17,0
 72-82,1.84,0,2.02,0,0.61,0.62,0,0.6,4.89,0,0,0
 84-94,0.81,0,2.46,0,3.22,0,0,0,0,0,0,0
 96-106,1.36,0,0.74,0,1.66,0,0,10.77,0,0,0,0
108-118,0,0,0,0,1.62,1.9,0,4.1,0,0,0,0.76
120,0,1.63,0,0,5.16,0,0,3.71,0,0,0,0
