stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.96,0,0,0,11.22,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,30.73,0,0,0,0,0,0,0,0,0,10.63,0,0,0,0,261.14,0,0,0,15.96,0,0,5.33,0,0,0,0,0,0,0,0
 14-21,0,0,14.79,0,0,251.25,0,0,0,2.15,0,0,0,0.89,0,0,0,0,0,5.53,1132.51,0,0,0,0,0,0,0,1.83,0,3.92,0,0,0,0,0
 24-34,0,0,8.64,1.87,0,381.56,0,0,0,19.52,0,2.46,0,0.62,0,0,0.65,0,0,3.92,1870.26,1.71,1.17,0.67,0,0,2.11,0,0,0.9,30.45,0,0,4.34,0,0
 36-46,0,0,1.95,0,0,392.71,0,0,0,56.22,0.95,0,1.07,0,0,0,6.71,0,0,0.56,1947.03,0,1.17,0.72,0,0,5.49,0.81,0,0,23.28,0,0,2.3,0,0
 48-58,0,0,10.36,0,0,417.19,0,0,0,63.59,0,0,0,0,0,0,10.82,0,0.5,4.41,1258.1,0,0,3.32,0,0.73,4.49,0,0,0,20.68,0,0,2.03,0,0
 60-70,0,0,0,0,0,439.2,0,0,1.25,78.57,0,0,0,0,0,0,1.42,0,5.32,0,1184.67,0,1.22,0,0,0,0,0,0,0,6.15,0,1.52,0,0,0
 72-82,0,0,5.75,0,0,475.99,0,1.55,0,64.33,0,0,0,0,1.42,0,14.8,0.92,0,0,881.93,0,5.09,1.46,0,0,1.79,0,0,0,4.6,0,0,10.91,5.76,0
 84-94,0,0,4.5,0,0,400.12,2.05,0,0,56.64,0,0,0.66,0,0.75,0,10.26,0,0.57,0,475.49,2.33,0.58,0,0,0,0,0,0,0,0,0,0,0,0.63,0
 96-106,0,0,3.54,0,0,365.88,0,0,0,71.22,1.24,0,1.93,0.86,0,5.58,8.42,0,0,0,359.2,0.58,0,0,0,0,5.7,0,0,0,0,0.83,0,1.22,0,0
108-118,0,0,4.5,1.5,0,351.75,0,0,0,60.64,0,0,0,0,0,0,6.77,0,0,0,763.75,0,6.94,3.05,0,0,0,0,0,0,0,0,0,0,0,4.6
120,0,0,1.31,17.95,1.03,300.14,0,0,5.88,152.26,1.22,0,5.39,0,0,4.74,3.37,0,0,2.35,905.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
