stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,103.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.83,83.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.33,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,0,0,19.75,0,0,0,3.65,0,3.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.91,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.97,0,0,0,0,0,0,2.36,0,16.45,0,0,0,0,0
 24-34,0,0,2.58,0,0,1.77,0,0.67,0,0,0,0,3.64,0,0,0,0,0,0,5.73,0,0,366.34,0.61,1.44,0,0,0,2.26,0,0.65,110.92,0,0,0,0,0
 36-46,0,0,2.78,0,0,6.15,0,1.39,0,0,0,0,0.84,0,0,0,0,0,0,0.72,0,0,885.1,4.19,0,0,0,0,0.73,0,4.31,67.4,0,0,0,0,5.09
 48-58,0,0,2.08,1.4,0,46.55,0.45,0.92,0,20.56,0,0,0.55,0,0,8.12,0,0,0.7,14.41,0,4.78,1216.36,9.89,1.07,0,0,0,1.74,0,0,61.43,0,0,3.53,0,6.83
 60-70,0,0,1.37,0,0,52.17,0,0.99,0,27.82,0,0,0,0,0,0.58,0,0,0,13.8,0,2.15,2533.8,14.96,0.7,7.18,0,0,2.12,0,0,90.44,0,0,0.96,0,10.22
 72-82,0,0,5.4,0.74,0,160.22,0,0,0,46.23,0.63,0,3.07,0,0.53,0,0,5.7,0,24.46,16.31,1.88,2775.58,5.13,0,0,0,1.12,0,0,0,49.01,0,0,0.9,0,7.85
 84-94,0,0,7.34,0,0,102.55,0,0,0.67,44.82,0,0,1.46,0,0,3.6,0,0,0,25.97,12.23,1.76,1591.47,12.94,0,11.54,0,0,0,0,0,41.35,0,2.42,0.58,0,1.5
 96-106,0,0,6.02,3.99,0,121.13,0,0.9,0,27.11,0,0,0.61,0,1.73,2.09,1.64,0,0.61,25.23,6.67,0,1368.32,6.9,0,0.59,0,3.51,5.1,0,0,41.46,0,0,2.17,1.06,5.55
108-118,0,0,11,2.95,6.22,82.83,0,0,0,25.17,0.63,0,0,0.64,0,3.52,0,3.29,0,26.47,2.5,0,1677.66,3.87,0,9.41,0,0,1.33,0,0,7.89,1.29,0,1.56,0,0
120,0,0,35.8,2.39,0,300.14,0,0,0,82.75,0,0,5.02,0,0,17.67,0,3.92,0,37.9,23.8,3.16,5751.8,23.98,5.76,0,0,0,0,0,0,109.9,0,0,0,0,17.42
