stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,154.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.58,232.6,0,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,29.67,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.25,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,16.76,0,0,0,0,0,0,0,0,82.16,0,0,69.82,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.85,0,2.79,0,0,0,7.75,0,1.73,0,0,0.89,0,5.61,0,0,7.85,87.35,2.45,0,0.88,0,10.8,2.26,1.54,11.93,32.43,0,0,0
 24-34,0,0,0,1.39,0,17.09,0,2.47,0,4.44,0,0,0,0,0,0,7.83,0,0,0.75,80.15,0,0.62,0,5.27,0,0,0,0.81,20.97,0,0,0
 36-46,0,0,0,1.31,0,24.32,0.58,0,0,1.45,1.55,0,0,1.03,0,0,9.54,0,0,2.58,59.43,0,0,0,12.23,0,0,0,0,17.28,0,0,0
 48-58,0,0,0,0,0,33.51,0.7,0,0,4.86,0,2.4,0.9,0,0,5.24,5.59,1.11,0,1.63,43.65,2.39,0,0,19.12,0,8.14,2.6,0,10.44,0,0,0
 60-70,0,0,0,0,0,44.65,0.89,0,0,6.94,6.08,0,0,2.25,0,3.22,10.4,0,0,0.61,47.8,3.16,0,0,8.34,0,1.84,0,0,1.93,0,2.04,0
 72-82,0,0,0.93,0.95,0,28.89,0,0,1.04,6.11,2.6,0,2.73,0.72,0,0,16.54,0,0.76,0,31.69,5.06,1.48,0,1.53,0,1.76,0,0,3.76,1.16,3.16,0
 84-94,0,0,0.7,0,0,1.64,0.91,0,0,2.04,5.41,0,0,0,0,0,8.65,0,0,1.53,16.5,0,1.29,0,5.37,0,2.8,0,0,6.1,0,0,0
 96-106,0,0,3.35,0,0,23.75,0,0,0,7.52,0.83,0,0,0.62,0.73,0,6.31,0,2.3,4.37,25.65,4.94,0,0,4.22,0,1.68,0,0,5.93,0.78,0,5.86
108-118,0,0,0.41,4.13,0,20.63,1.32,0.52,0,8.57,2.72,0,1.01,0,0,1.46,20.44,0,0,0,27.5,2.34,0,0,7.75,0,0,0,0,3.06,9.25,0,0
120,0,0,0,0,1.9,29.64,2.76,2.75,2.28,2.91,31.97,0,0,0,0,0,3.07,0,0,0,54.85,2.34,9.75,0,15.07,0,0,0,0,0,3.09,0,0
