stage,epidermis,eye,glial,gut,ionocyte,lateral_line,mesenchyme,neural,olfactory,periderm,spinal_cord,taste,vasculature
 10-12,0,0,0,0,0,0,0,9.31,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.35,0,0,0
 24-34,0,0,0,0,0,0,0,6.53,0,1.44,0,0,0
 36-46,0,4.57,0,0,0,0,0,6.17,0,1.6,1.05,0,0
 48-58,0,1.55,0,0,0,0,0,2.7,1.08,2.85,0,0,0
 60-70,0,0,0,0,0,0,2.45,23.1,0.98,9.67,4.07,0,0
 72-82,0,11.48,1.3,0,0,0,5.26,11.38,0,2.49,0,0,3.98
 84-94,4.41,2.59,0,1.94,0,0,0,4.44,0.9,6.66,0,0,0
 96-106,0.91,7.83,1.69,0.74,0,2.48,0,2.33,8.24,2.8,0,0,2.95
108-118,0,1.54,0.56,3.55,0.54,0,0,11.63,0,5.98,0,0,0
120,2.88,0,0,0,0,0,0,7.3,0,7.6,0,1.19,0
