stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,32.58,485.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,63.8,583.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.77,26.04,0,0,26.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,102.13,35.43,20.82,0,0,52.72,0,0,0,0,18.94,0,0,0,0,0,0,0,0,0,567.64,234.88,0,0,1155.08,0,0,4.25,0,0,0,0,0,0,0,0
 10-12,0,15.23,18.83,0,0,65.07,0,0,0,0,12.89,0,0,0,0,0,0,0,0,0,610.46,137.34,0,0,581.74,0,0,0,0,36.64,0,0,0,0,0,0
 14-21,0,0,0.93,0.84,0,7.37,0,0,0,0,0,0,0,0,0,0,1.13,7.51,0,3.06,57.05,12.08,0,0,2.91,0,0,0,14.93,1.14,9.1,15,0,0,0,4.57
 24-34,0,0,0,2.06,0,12.45,0,1.71,2.54,0,0,3.33,0,0,0.6,1.12,27.09,10.24,0,4.05,153.9,8.38,1.21,2.62,0,0,0.69,0,0,2.87,1.8,23.75,0,5.99,0,3.14
 36-46,0,0,0,4.61,0.57,38.22,0,0.78,31.12,0,0,0,0,0,0,0.65,2.63,19.07,0,5.56,150.58,9.47,4.22,1.58,0,0,0,0,0,0,0,33.19,0,1.05,0,20.95
 48-58,0,0,0,0.43,0,141.6,0,0.77,87.87,0,0,0.96,0,0,3.54,0.65,2.45,36.03,0,1.08,85.36,10.79,2.78,0.37,0,0,0,0,0,0,0,37.97,0,2.46,0,7.86
 60-70,0,0,0,0,0,217.57,0,3.82,131.65,0,0,0,0.65,0,3.29,2.61,1.87,59.76,0,1.38,64.1,6.59,4.78,0.85,0,0.84,0,0,0,0,0,36.52,1.63,0.85,0,14.4
 72-82,0,0,0,0.51,0.64,154,4.53,1.93,209.4,1.68,0,0,0,0,0.83,1.25,1.81,61.64,2.63,4.67,49.56,0.73,2.88,0.79,0,0,0,0,0,4.56,0,12.25,0.77,1.56,3.4,20.76
 84-94,0,0,0,2.3,5.56,134.85,0,0,200.44,0,0,0,0,0,5.05,0.66,0,71.67,2.93,1.66,45.7,0,1.13,2.17,0,0,0,0,0,0,0,1.32,0.62,6.02,4.44,9.53
 96-106,0,0,0,7.62,2.07,110.59,0.69,4.04,185.81,2,0,0,2.05,0,5.47,0,0,71.13,1.06,1.28,49.55,0.64,1.63,2.2,0,0,0,0,0,0,0,7.09,4.04,1.32,0.96,2.53
108-118,0,0,0,3.1,2.68,110.43,0,0,222.45,2.6,0,1.61,0,0.44,15.37,0,6.04,68.03,3.69,5.8,31.35,1.13,0.86,1.09,0,0,1.54,0,0,0,0,10.6,1.96,2.69,2.89,4.34
120,0,0,0,3.56,0,62.44,0,1.66,296.18,0,0,0,1.11,0,15.56,0,0,58.44,0,2.33,48.35,0,1.48,2.3,0,0,0,0,0,1.02,0,15.88,4.4,0,0,5.63
