stage,axial,blastomeres,endoderm,eye,fin.epithelia,glial,hatching.gland,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,37.77,309.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,180.66,0,0,0,0,0,0,0,0,0,0,9.46,0,0,0,0,0,0
  7-9,6.61,0,0,0,0,0,3.3,0,0,0,0,0,65.48,3.69,0,34.49,0,0,0
 10-12,0,4.98,0,5.55,0,0,0,0,0,0,0,0,149.7,0,0,39.21,0,6.88,0
 14-21,0,0,0,0,0,1.01,0,0,0,0,0,0,1.86,0,0,0,0,0,1.96
 24-34,0,0,1.2,1.41,0,0,0,0,0,1.82,0,1.14,12.25,0,1.54,0,0,0,2.98
 36-46,0,0,0,2.35,0,3.56,0,0,0,0,0,0,17.11,0,0,0,0,0,0
 48-58,0,0,0,0,0,3.49,0,0,3.14,0.46,0,0,13.04,0,0,0,0,0,0
 60-70,0,0,0,1.76,0,0.7,0,0,0,0,0.7,5.5,0,0,0,0,0,0,7.58
 72-82,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,5.72,0,0.75,0,0.79,0,0.75,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0.91,0,0
108-118,0,0,0,0.54,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,12.52,0,8.61,0,0,0,0,0,0,8.74,0,0,0,0,0,0
