stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,89.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.42,36.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,4.54,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.52,0,0,0,14.81,0,0,0,7.48,0,0,0,0,0
 14-21,0,0,0,10.94,0,0.8,0,0,1.21,0.84,0,0,0,0,0,0,1.1,0,0,12.23,2.44,0.83,0,0,0,0,0,0.87,7.44,0,0,0,0
 24-34,0,0,0.61,2.52,0,4.4,0,0,2.19,0,0,0.6,0,0,0,0,10.64,0,2.02,54.57,1.22,2.28,0,0,0,0.75,1.26,1.38,11.76,0,0.89,0,0
 36-46,0,0,0,2.11,0,5.39,0,0,2.42,0,0,0,0,0,0,0,24.95,0,2.1,38.66,0,0,0,0,0,1.8,0,0,8.9,0,2.45,0,0
 48-58,0,0,0,1.29,5.51,13.34,0.8,1.2,0.91,0,0,0,0,0,0,1.85,7.95,0,2.91,45.85,0,0.41,3.11,0,0,0,0,0,8.56,0,10.27,0,1.48
 60-70,0,0,0,1.02,0,18.48,0,0,9.21,0,0,0,0,0,0,0,14.67,0.66,0,17.51,0,2.08,0,0,0,0,0,0,3.03,0,0.92,0,0
 72-82,0,0,0,0,1.35,12.59,0,0,3.02,0,0,0.93,0,0.67,0,0,17.01,1.1,0.53,30.45,0,0.52,0,0,0,0,0,0,1.09,0,0.96,1.63,0
 84-94,0,0,0,0,0.66,5.95,0,0,3.7,0.57,0.99,0,0,0,9.68,0,5.16,0,0,7.08,0,1.78,1.17,0,0,0,0.57,0,0,2.12,0,0.78,0.8
 96-106,0,0,0,0.79,6.12,18.09,0,0,2.23,1.01,0,0,0,0,0,0.69,11.02,0.62,0.71,20.69,0,2.21,0,0,1.67,0.98,0,0,4.04,0,4.09,0,0
108-118,0,0,0,2.22,4.04,11.33,0,0,0.88,1.06,0,0.67,0.93,1.02,0,0,13.16,0,0.95,8.37,0,0,0,0,1.14,0.93,0,0,1.13,0,1.57,0,0.49
120,0,0,0,3.27,5.28,5.48,1.23,0,14.09,1.5,0,0,2.6,0,0,0,33.53,0,2,13.91,0,0,0,0,0,0,0,0,0,0,0,0,0
