stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,16.11,41.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,52.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.98,0,0,0,10.37,0,0,0,0,0,0,0
  7-9,0,0,0,12.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.17,0,0,0,7.29,0,0,0,0,0,0,0
 10-12,0,0,0,17.52,0,0,4.5,0,0,0,0,8.09,0,0,0,0,0,0,149.56,30.46,0,0,55.63,0,6.84,0,0,0,0,0
 14-21,0,0,0,6.16,116.23,0,0,0,0,0,1.39,0,0,0.9,0,0,0,0,0.91,0,0,2.74,2.03,2,0,0.82,2.82,0,0,0
 24-34,0,0,0,0.61,25.33,0,0.82,2.95,0,0.68,0.59,0,0,2.62,0.86,0.89,0.67,0,8.92,0,0.98,5.49,0,0,0,0,4.43,0,0,0
 36-46,0,0,0,0,20.27,0,0,0.8,0,0,0,0,0,5.06,0,0.7,0,0.8,1.57,0,0.59,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,9.48,0,0,3.03,0,0,1.23,0,0,5.94,0,2.85,0,0,4.53,0,0.88,0.9,0,2.26,0,0,0,0,0,0
 60-70,0,0,0,0,5.66,0,0,19.68,0,0,8.28,0,0,0.67,0.64,4.97,0,2.34,1.82,0,0,0,0,0,0,0,0.93,0,0,0
 72-82,0,0,2.38,0,14.24,0,3.56,7.15,0,0.67,16.82,0,1.02,3,0,1.78,0,0,8.91,0,1.67,0.7,0,0,0,0,0,0,0,0
 84-94,0,0,1.16,0,22.15,0,0,11.39,0,0,22.29,0,1.52,4.71,0,0.82,0,0,7.72,0,0,0,0,0,0,0,0,0,0.62,0
 96-106,0,0,0.99,0,37.81,1.84,2.92,13.09,5.19,0,16.78,0,5.25,2.9,0,0,0,0,3.24,0,4.92,1.8,0,0,0,0,0,0.81,0,1.91
108-118,0,0,3.55,0,24.33,0.42,0,28.17,0.73,1.31,17.44,0,10.18,2.37,0,5.64,0,0,2.6,0,2.05,0,0,0,0,0,0.42,0.47,0,0
120,0,0,0,0,42.62,1.38,1.29,22.43,0,0,39.78,0,8.87,5.38,1.84,1.5,0,0,29.62,0,0,0,0,1.69,0,0,0,2.31,0,0
