stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,hatching.gland,immune,iridophores,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,visceral.smooth.muscle
  3-4,0,30.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.35,168.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,13.82,0,0,0,0,0,0,5.58,0,0,0,68.8,0,49.55,0,0,0,0,0
 10-12,0,0,9.67,0,0,5.39,0,0,0,0,0,0,0,41.13,0,16.4,0,10.22,3.24,0,0
 24-34,0,0,0,0,0,0.6,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,39.67,0,0,0,0,0,0.88,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,63.98,0,0,0,0,0,4.17,0
 60-70,0,0,0,0,0,5.76,1.44,0,0,0,0,0,0,183.28,1.43,0,0,0,0,18.48,0
 72-82,0,0,0,0,0,6.38,0,0,6.97,0,0,0,1.92,278.98,0,0,0,0.64,0,14.23,0
 84-94,0,0,0,0.56,0.76,21.05,0,0,2.63,0,0,0,2.37,205.67,0,0,0,0,0,8.78,0
 96-106,0,0,0,0,0,8.28,0,0,3.2,0,0,0,0,210.83,0,0,0.73,0,0,16.14,0.92
108-118,0,0,0,3.13,0,12.67,0,0,5.78,0,0.62,0.43,2.4,278.27,0,0,0,0,0,15.52,0
120,0,0,0,0,0,0,12.08,14.64,3.44,0,0,0,8.11,526.65,0,0,0,0,0,29.62,0
