stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,28.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.92,0,0,0,5.94,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,8.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0,0,0,5.19,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03,0,0,0,0,0,0,4.23,0,0,1.09,0,0,0,0,0,0
 24-34,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,1.56,0,0,0.63,5.12,0,0,0,0,0,4.43,0,0,0,0.7,0,0,0,0,0,0
 36-46,0,0,0,0,20.14,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,10.54,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0
 48-58,0,0,0,0,9.82,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0.49,9.5,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0.4,0,0
 60-70,0,3,0,0,1638.63,0,0,0,7.48,0,0,0,0,0,0,0,1.2,0,0,2.02,15.41,0,0,0,0,0,1.59,0,0,0,0,1.16,0,0,0,0,0
 72-82,0,22.4,3.36,0,8564.94,2.21,2.56,1.41,18.06,1.85,7.97,0,0,0,0,4.64,40.19,0,3.21,2.42,119.12,12.2,0,1.28,0,0,5.43,0,0.55,0,0,10.12,2.31,0,0,0.96,0
 84-94,0,37.33,9.95,0,8677.51,0.56,3.62,0.59,19.1,0.99,0,0,2.97,2.31,0,0,17.65,0.86,0,3.53,62.17,0,0,0,0,0,2.68,0,0.87,0,0,1.95,0,0,6.7,3.19,0
 96-106,0,31.22,13.43,3.86,10735.54,3.79,2.31,7.91,24.16,6.59,2.16,1.69,2.66,1.28,1.01,0,32.81,0,1.02,2.41,198.29,6.5,0.87,0.84,0,1.28,24.42,0,1.06,5.67,0,0,0.71,0,14.38,0.64,8.65
108-118,0,14.65,5.23,9.3,8703.92,0,2.13,3.18,20.56,4.75,0.43,2.05,0,1.42,0.45,0,30.26,0,2.05,4.22,219.91,1.39,2.16,5.19,0,2.06,7.3,0,0,0,0,2.55,2.79,0.88,5.35,0,5.15
120,0,24.87,10.46,0,9799.86,0,10.81,2.89,27.07,14.26,8.03,1.77,0,9.45,18.71,0,67.48,0,0,1.88,151.49,0,10.22,5.62,0,0,15.35,0,0,0,0,0,1.27,1.32,0,0,0
