stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,heart,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,99.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.57,0,0,0,0
  5-6,98.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,15.65,0,0,0,0,0,0,0,0,0,212.35,0,0,55.91,0,0,0,0,0,0
 10-12,20.1,0,5.19,0,0,0,0,0,0,0,0,0,109.16,0,0,3.65,0,0,0,0,0,0
 14-21,0,2.65,0.81,0,0,0,0,0,0,0,0,0,9.17,0,0,0.99,0,0,6.85,0,0,0
 24-34,0,0,1.44,1.86,5.53,0,0,0,0,2.42,0,0.95,149.89,0,0,0,0,0,24.94,0,0,0
 36-46,0,3.03,1.75,0,16.02,0,0,0,0,4.79,0,0,114.29,2.72,0,0,0,4.6,44.01,0,6.05,0
 48-58,0,1.92,5.9,0,24.08,0,0,0,0,7.23,0,4.21,55.6,0,0,0,0,5.91,25.07,0.61,0.5,0
 60-70,0,0,2.72,0,30.53,0,0,0,0,19.52,0,0.59,25.31,0,0,0,2.4,0,18.42,0,3.05,0
 72-82,0,0,5.9,0,46.94,0,1.5,0,0,32.86,0,1.82,29.77,0,0,0,0,0,4.17,0,3.98,0.57
 84-94,0,1,11.34,0,26.36,0,1.52,0,0,22.37,3.04,2.85,2.69,0,0,0,0,0,8.1,1.47,2.21,0
 96-106,0,0,16.96,0,44.14,0,2.03,0.86,1.48,42.22,0,2.44,19.01,0,0,0,0,0,2.42,1.21,8.3,1.42
108-118,0,1.05,3.71,1.3,25.34,0.85,2.78,0,0,60.78,0,0,21.6,0,5.21,0,0,0,0,4.41,19.32,0
120,0,0,3.22,0,39.49,0,0,0,0,61.96,0,7.45,43.88,0,0,0,0,1.71,0,13.58,35.94,0
