stage,eye,ionocyte,mesenchyme,neural,spinal_cord
 14-21,0,0,0,0,1.03
 24-34,0.77,0.81,0,2.34,0
 36-46,0,0,0,2.87,0
 60-70,0,0,0,10.35,0
 84-94,0,0,1.37,0,0
