stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,9.89,0,0,4.35,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,11.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,17.97,0,0,0,9.71,3.17,0,0,0,0.9,1.2,0,0
 24-34,0,0,0,0,0,0,0,4.63,0,0,0,8.24,0,0,0,0,8.71,2.32,0,0
 36-46,0,0,0,1.53,0,1.04,0,3.06,0,0,1.08,28.27,0,0,0,0,1.83,0,0,0
 48-58,0,0,0,3.32,0,4.58,0,7.6,0.38,0,0,4.97,0,0,0,0,3.15,0.42,0,0
 60-70,0,0,0,5.39,0,1.92,0,2.31,0.83,0,0,3.77,0,0,0,0,16.15,0,0,0
 72-82,1.13,1.48,0,1.38,0.58,23.84,0,6.6,0.84,0,0.68,13.92,0,0,0,0,9.75,0,0,0
 84-94,0,0,0,9.71,0,55.32,0,0,0,0,0.85,7.5,2.69,0,0,0.8,34.36,0,0,0
 96-106,2.81,7.13,1.93,0,3.04,95.67,1.2,0,3.74,0,0,13.68,0,0,0,0,28.61,0,4.09,0
108-118,0,1.37,0,4.69,0,167.34,0,5.44,2.99,0,0,34.13,0,1.47,0,4.03,19.44,2.39,0,1.38
120,0,9.58,2.67,7.8,0,108,0,0,1.59,9.06,0,18.04,0,0,0,1.09,11.63,0,0,0
