stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,vasculature
  3-4,19.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,8.89,0,0,0,0,0,0,0,0,0,0,0,0,0,69.2,0,0,0,3.62,0,0,0,0,0
 10-12,6.05,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.51,4.36,0,0,13.3,0,0,0,0,0
 14-21,0,0,1.61,0,0,2.77,0,0,0,0,0,0,0,0,0,0,2.71,0,0.96,16.23,0,0,0,1.02,0,0,0,2.15,1.26
 24-34,0,0,0,0,0,2.13,0,0,0,0,0,0,0,0,0,1.09,2.29,0,0,17.48,0,0,0,0,0,0,0,5.92,0
 36-46,0,0,0,3.01,0,1.88,0,0,0,2,0,0,1.57,0,0,0,1.49,1.26,0.86,57.88,7,1.4,0,0,0,13.91,4.22,18.36,0
 48-58,0,0,0,0.55,0,13.3,0,0,0,4.41,0,0,0,3.67,0,0,5.08,0,0,80.21,0,0,0,0,0,6.57,0,15.28,0
 60-70,0,0,0,1.64,0,35.46,0.58,0,0,5.05,0.65,0,0,4.51,0,0,7.23,0,1.06,342.02,0,0,0,0,0,0.67,2.37,11.4,0
 72-82,0,0,0,5.17,0,137.41,0,0,3.28,2.15,0,0,0,0,0,0,20.35,0,0,546.58,0,0.53,5.17,0,0,0,0,3.33,0.74
 84-94,0,1.16,0,7.08,0,112.61,0,0.57,0,13.34,0,0,2.71,0,0,0,4.85,0,0,397.63,0,7.64,2.93,0,0,3.56,0,8.34,58.26
 96-106,0,0,0,8.04,7.84,186.7,2.63,0,0,2.03,5.46,0.69,0.63,0,1.23,0,7.11,0,0,449.32,0,0,0,0,1.61,0,0,0,6.2
108-118,0,0,0,0.49,0,126.79,0,0,0,2.85,1.89,0,0,0,0,0,7.29,0,1.21,594.98,0,5.53,0.98,0,0,0.73,0.43,0.94,3.17
120,0,0,0,49.26,1.77,161.73,0,1.12,0,0,0,0,0,0,3.15,0,3.69,0,0,408.06,1.08,0,0,0,0,6.66,0,0,0
