stage,epidermis,eye,glial,gut,heart,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,pericytes,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,2.07,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,8.09,0,0,0,0,1.4,0
 36-46,0,0,0,0,0,0,0.77,0.86,0,0,0.71,0,0.74,0,6.47,0
 48-58,0,0,0,0,0,0.5,1.71,0.79,0,3.09,0,0,0,0,1.63,0
 60-70,0,0,0,0,0,0,0,0,0,2.15,1.87,0,0,2.61,1.56,0
 72-82,0,0.61,0,0,0,0,3.86,1.12,1.46,1.78,0.55,0,0,0,5.09,0
 84-94,0,6,0,0,0,0,10.89,2.38,0,5.92,2.86,0,0,0,3.04,0
 96-106,0,0,0,1.1,0,0,6.14,0,0,2.83,0,0,0,0,3.44,3.63
108-118,0,0,1.71,0,0,0,5.36,1.75,0,1.35,2.44,2.05,0,0,3.71,3.72
120,0,0,0,0,1.85,0,0,0,0,21.2,4.99,0,0,0,2.48,0
