stage,epidermis,eye,iridophores,mesenchyme,neural,olfactory,periderm,spinal_cord
 24-34,0,0,0,0.6,1.52,0,11.13,0
 36-46,2.02,1.18,0,0,0,0,27.9,4
 48-58,0,0,0,0,10.56,0,4.96,3.89
 60-70,0,3.34,0,0,10.56,0,8.94,2
 72-82,0,0,0,1.04,0.66,0,4.52,2.77
 84-94,0,0,0,0,0,9.58,7.38,0
 96-106,0,0,1.46,0,2.56,2.83,2.79,1.39
108-118,0,0.67,2.49,0.95,6.11,0,4.66,0
120,0,0,0,0,4.74,0,5.12,0
