stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,22.1,316.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.33,0,0,0,0,0,0
  5-6,28.94,178.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76,0,0,0,10.59,0,0,0,0,0,0
  7-9,13.69,0,16.83,0,0,0,0,0,7.82,0,0,0,0,0,0,0,36.06,13.28,0,112.99,0,13.2,0,0,0,0,0
 10-12,0,0,0,0,0,26.43,0,0,0,0,0,0,0,0,0,0,56.32,8.95,0,88.04,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,40.34,0,0,0,0,0.91,46.13,0,0,0,0,0,1.04,0,0,0,0
 24-34,0,0,0,0.68,0.66,0.68,0.61,1.05,0,0,125.35,0,0,0,0,0,56.16,0,0,0,2.12,0,2.43,2.72,0,2.45,0
 36-46,0,0,0,0,0,2.92,0,5.62,0,0,140.74,0,0.85,0,0,0,62.71,0,1.05,0,0,0,0,0.89,0,0,0
 48-58,0,0,0,0,0,1.11,0,2.1,0,0,131.99,0,0,0,0,0,20.26,0,0,0,0.51,0,0,0,0,0.43,0
 60-70,0,0,0,0.71,0,9.89,0,1.29,0,0,131.26,0,0,0,0,0,19.66,0,0,0,0,0,0,1.14,0,0,9.49
 72-82,0,0,0,0,0,12.08,0,0,0,0,156.9,0,0,0.81,0,0,15,0,0,0,0,0,0,0,0.97,1.76,0
 84-94,0,0,0,0,0,10,0,0,0,0,236.04,0,0,1.41,0,0,10.36,0.74,0,0,0,0,0,0,0,3.11,0
 96-106,0,0,0,0,0,2.68,0,0,0,2.41,245.12,6.65,0,2.89,0,0,8.93,0,0,0,2.02,0,0,0,0,6.81,0
108-118,0,0,0,0,1.36,7.65,0,4.17,0,0,219.83,0,0,0.53,0,0,20.76,0,0,0,0,0,0,3.55,0,2.05,0
120,0,0,0,1.62,2.45,5.8,0,0,0,0,294.98,0,0,2.19,7.63,2.15,18.21,0,0,0,1.21,0,0,0,0,0,0
