stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,0,13.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,119.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.11,275.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,0,13.62,0,0,3.12,0,0,0,0,0,6.95,0,0,0,0,0,0,0,0,0,0,161.94,1745.51,0,0,87.15,0,0,0,0,0,112.04,0,0,0,0
 14-21,0,0,2.13,14.61,0,0,0,0,0,3.65,0.92,1.03,0,0,0,0,0,0,2.62,0,0,140.5,91.09,3588.76,0,0,5.13,0,0,40.66,0,3688.76,8905.97,159.08,0,0,0
 24-34,0,0,0,7.91,0,9.73,71.22,0.71,0,0,0.92,0,0,0,0.85,0,0,6.43,9.72,0,0,124.96,104.78,332.21,6.46,1.55,1.99,0,1.47,5.71,0,501.32,2991.51,138.27,0,2.33,1.49
 36-46,0,0,0,0,0,4.71,79.44,0,0,0,0,0,0,0,0,0,0,0,3.29,0,0,28.25,54.34,64.02,0,0,0,0,0,0,0,140.46,78.68,33.36,0,0,5.42
 48-58,0,0,0,0,1.48,17.34,37.6,0,0.49,2.56,0,0,0,0.48,0,0,3.27,0,0.75,0,0,51.85,43.07,2,0,0,0,0,0.97,0,0,34.18,0,40.85,0,0,0
 60-70,0,0,0,0.58,0,19.98,54.21,0,0,11.87,0,0,0,0,0,0.84,0,3.27,11.7,0,0,47.5,36.65,0.87,0,0.63,0,0,0,0,0,16.32,0,27.38,0,0,0
 72-82,0,0,0,0,0,24.63,28.81,0,0,12.28,0,0,0,0,0,0.92,10.82,0,13.89,0,0,36.89,53.09,4.93,0,0,0,0,0.51,0,0,10.12,0,8.86,0,0,0
 84-94,0,0,0,0.79,0,18.25,41.57,0,5.28,1.16,0.77,0,1.2,0,0,0.65,5.29,0,9.89,0,0,34.38,52.72,0,0.6,0.71,0,0,3.21,0,0,11.16,0,7.88,0,0,0
 96-106,0,0,0,1.27,1.52,15.66,43.18,3.79,0,9.64,1.59,0,0,0,0,0,20.56,0,16.6,1.52,2.28,53.4,52.11,0.97,2.23,1.49,0,0,4.92,0,0,16.04,0,15.65,1.23,0.68,0
108-118,0,0,0,0.5,7.41,10.94,52.78,1.25,0,6.26,2.7,0,3.02,0,0.42,2.86,35.15,0,18.29,0,0,60.66,67.2,0.98,0,1.81,0,2.53,1.29,0,0.43,14.98,0,10.86,0.46,0,0
120,0,0,0,2.63,5.68,18.34,53.45,0,0,7.73,1.38,0,2.23,0,0,0,18.26,0,40.07,0,0,96.08,73.35,0,0,9.36,0,0,6.73,0,0,5.83,0,16.7,0,1.23,0
