stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,mesenchyme,neural,olfactory,otic,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,4.39,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.27,0,0,1.5,1.44,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,22.27,0.78,0,0.76,5.98,0,0,2.68,0
 36-46,0,0,0,0,0,0,0,0,0,32.13,0,0,0,1.67,0,0,0,0
 48-58,0,0,0,0,0,11.28,1.75,0,0,81.7,0,0,0.39,15.2,0,0,0,0
 60-70,0,0,0,0,0,11.54,0.77,0,0,131.35,0,0,0,18.19,0,0,0,0
 72-82,0,0,0.69,0,0.59,27.62,3.71,2.04,2.29,108.12,0,0.75,0,19.61,0,0,0,0
 84-94,0,0,0,0,0.6,44.32,1.81,0.86,3.37,126.69,0,0,0,7.02,0,0,0,2.19
 96-106,0,0,0,0,0.61,45.78,0,0,2.57,94.83,0,0,0,3.86,0,2.03,0,0
108-118,0,0,0,2.07,0,48.79,0,0.63,2.82,87.65,0,0,0,8.07,0.95,0,0,0
120,0,0,0,0,6.2,42.18,0,1.92,4.36,147.82,0,0,0,7.35,0,0,0,0
